sec,nanosec,image,motor position #0,motor position #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz
1731636618,489125244,1_1731636618-489125244.png,0,0,0.0,0.0,71.83000183105469,88.81999969482422,-121.0,219.0,-5.0,-37.0,16.0,-39.0
1731636618,522467041,2_1731636618-522467041.png,0,0,0.0,0.0,71.83000183105469,88.63999938964844,-42.0,117.0,-241.0,-25.0,-15.0,-15.0
1731636618,555810059,3_1731636618-555810059.png,0,0,0.0,0.0,71.83000183105469,88.63999938964844,-42.0,117.0,-241.0,-25.0,-15.0,-15.0
1731636618,589152832,4_1731636618-589152832.png,0,0,0.0,0.0,71.83000183105469,88.62000274658203,135.0,328.0,-405.0,35.0,50.0,-18.0
1731636618,622496826,5_1731636618-622496826.png,0,0,0.0,0.0,71.88999938964844,88.58000183105469,26.0,324.0,-375.0,37.0,112.0,-19.0
1731636618,655839600,6_1731636618-655839600.png,0,0,0.0,0.0,71.72000122070312,88.55000305175781,112.0,339.0,-325.0,45.0,112.0,-12.0
1731636618,689183594,7_1731636618-689183594.png,0,0,0.0,0.0,71.62000274658203,88.54000091552734,-49.0,-82.0,206.0,30.0,96.0,13.0
1731636618,722526367,8_1731636618-722526367.png,0,0,0.0,0.0,71.62000274658203,88.44999694824219,-20.0,208.0,419.0,88.0,101.0,-9.0
1731636618,755870361,9_1731636618-755870361.png,0,0,0.0,0.0,71.5,88.44999694824219,19.0,345.0,414.0,80.0,53.0,-6.0
1731636618,789213135,10_1731636618-789213135.png,0,0,0.0,0.0,71.41999816894531,88.48999786376953,-47.0,343.0,-27.0,54.0,-15.0,7.0
1731636618,822557129,11_1731636618-822557129.png,0,0,0.0,0.0,71.38999938964844,88.41000366210938,96.0,439.0,-140.0,13.0,-116.0,26.0
1731636618,855899902,12_1731636618-855899902.png,0,0,0.0,0.0,71.29000091552734,88.33999633789062,240.0,256.0,-489.0,-63.0,-126.0,6.0
1731636618,889243896,13_1731636618-889243896.png,0,0,0.0,0.0,71.51000213623047,88.43000030517578,160.0,-69.0,-335.0,-74.0,-35.0,17.0
1731636618,922586670,14_1731636618-922586670.png,0,0,0.0,0.0,71.66999816894531,88.30999755859375,-62.0,-49.0,-243.0,-8.0,6.0,10.0
1731636618,955930664,15_1731636618-955930664.png,0,0,0.0,0.0,71.68000030517578,88.18000030517578,-121.0,246.0,-39.0,78.0,-16.0,13.0
1731636618,989273682,16_1731636618-989273682.png,0,0,0.0,0.0,71.70999908447266,88.12000274658203,135.0,57.0,52.0,9.0,-72.0,-16.0
1731636619,22617432,17_1731636619-22617432.png,0,0,0.0,0.0,71.83000183105469,88.04000091552734,158.0,-35.0,130.0,-14.0,-31.0,-2.0
1731636619,55960449,18_1731636619-55960449.png,0,0,0.0,0.0,71.79000091552734,88.05999755859375,-8.0,9.0,123.0,3.0,22.0,-11.0
1731636619,89304199,19_1731636619-89304199.png,0,0,0.0,0.0,71.86000061035156,87.94000244140625,-236.0,-86.0,134.0,50.0,79.0,-33.0
1731636619,122647217,20_1731636619-122647217.png,0,0,0.0,0.0,71.83999633789062,87.9800033569336,-208.0,-149.0,265.0,42.0,42.0,-40.0
1731636619,155991211,21_1731636619-155991211.png,0,0,0.0,0.0,71.73999786376953,88.0199966430664,-127.0,-101.0,1.0,-27.0,22.0,15.0
1731636619,189333984,22_1731636619-189333984.png,0,0,0.0,0.0,71.56999969482422,87.94999694824219,-5.0,-209.0,70.0,-52.0,68.0,36.0
1731636619,222677979,23_1731636619-222677979.png,0,0,0.0,0.0,71.45999908447266,87.98999786376953,99.0,-226.0,244.0,-54.0,11.0,42.0
1731636619,256020752,24_1731636619-256020752.png,0,0,0.0,0.0,71.33999633789062,88.13999938964844,189.0,-59.0,259.0,-15.0,-25.0,11.0
1731636619,289364746,25_1731636619-289364746.png,0,0,0.0,0.0,71.19999694824219,88.04000091552734,43.0,-34.0,116.0,-37.0,-25.0,-42.0
1731636619,322707520,26_1731636619-322707520.png,0,0,0.0,0.0,71.06999969482422,88.02999877929688,84.0,-5.0,-277.0,-128.0,19.0,-68.0
1731636619,356051514,27_1731636619-356051514.png,0,0,0.0,0.0,70.98999786376953,88.12000274658203,-238.0,64.0,-492.0,-4.0,113.0,-32.0
1731636619,389394531,28_1731636619-389394531.png,0,0,0.0,0.0,70.93000030517578,88.06999969482422,-424.0,5.0,-241.0,-17.0,119.0,13.0
1731636619,422738281,29_1731636619-422738281.png,0,0,0.0,0.0,70.86000061035156,88.0,-301.0,-11.0,-42.0,-59.0,-25.0,-19.0
1731636619,456081299,30_1731636619-456081299.png,0,0,0.0,0.0,70.81999969482422,87.91000366210938,-157.0,155.0,-225.0,1.0,-19.0,-34.0
1731636619,489425049,31_1731636619-489425049.png,0,0,0.0,0.0,70.83000183105469,87.94999694824219,-104.0,26.0,-55.0,38.0,6.0,-19.0
1731636619,522768066,32_1731636619-522768066.png,0,0,0.0,0.0,70.91999816894531,88.04000091552734,14.0,88.0,-60.0,1.0,-30.0,-10.0
1731636619,556112061,33_1731636619-556112061.png,0,0,0.0,0.0,71.02999877929688,88.11000061035156,-27.0,272.0,-295.0,14.0,-65.0,-7.0
1731636619,589454834,34_1731636619-589454834.png,0,0,0.0,0.0,71.66000366210938,86.7300033569336,131.0,-81.0,-209.0,-19.0,-49.0,-18.0
1731636619,622798584,35_1731636619-622798584.png,0,0,0.0,0.0,72.0199966430664,86.29000091552734,-54.0,-25.0,22.0,6.0,-51.0,-14.0
1731636619,656141357,36_1731636619-656141357.png,0,0,0.0,0.0,72.88999938964844,85.2699966430664,-176.0,-397.0,204.0,-34.0,138.0,49.0
1731636619,689485107,37_1731636619-689485107.png,0,0,0.0,0.0,73.33000183105469,84.4800033569336,-100.0,-185.0,955.0,49.0,171.0,53.0
