sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z),wire length #0_normalized,wire length #1_normalized,loadcell #0_normalized,loadcell #1_normalized,fx_normalized,fy_normalized,fz_normalized,tx_normalized,ty_normalized,tz_normalized
1767329003,761501953,1_1767329003-761501953.png,-195757,201226,0,0,-1.87420534620098,1.92656632965686,148.01,367.39,19,-16,-72,20,102,-11,-73.9558033027613,-17.1293313790141,-82.0018767106998,-10.9800115615335,19.8110809617149,4.88938755087649,-364.386608570814,364.549007177353,-0.523598775598299,0.530488176621677,,,,,,,,,,,,,,,,,,,
1767329003,794859375,2_1767329003-794859375.png,-195757,201226,0,0,-1.87420534620098,1.92656632965686,148.01,367.39,19,-16,-72,20,102,-11,-71.0623931856263,-17.0941789870005,-81.6905510028166,-10.015705130991,22.369353188003,4.39480288739891,-364.408233344555,364.549150466919,-0.523598775598299,0.530488176621677,,,,,,,,,,,,,,,,,,,
1767329003,828215820,3_1767329003-828215820.png,-195757,201226,0,0,-1.87420534620098,1.92656632965686,147.91,367.3,27,-50,-59,28,93,-1,-59.4112697917181,-21.0038304705675,-78.9946101735005,-5.49893109561564,30.7612183532798,3.75382817645223,-369.440051943064,366.102409362793,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329003,861572998,4_1767329003-861572998.png,-195757,201227,0,50,-1.87420534620098,1.92657590379902,147.95,367.64,-60,-21,-98,15,-13,24,-57.1110909610728,-21.7986955662882,-80.7042832672644,-2.14456000140271,27.2689143144094,6.02895390355865,-369.487522542477,368.56956911087,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329003,894929443,5_1767329003-894929443.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.9,368.14,-151,93,-208,16,39,32,-70.8415766011019,-5.01032453181962,-99.3202415154464,0.508933612423513,28.9844897236536,9.82700714684293,-369.570774674416,368.575300693512,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329003,961643311,6_1767329003-961643311.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,148.02,368.82,-137,-54,-162,-23,36,12,-82.7061493511726,-18.698836897474,-142.498088607561,2.44408326216511,37.1260769675716,12.0259737832422,-366.558567076922,364.818248271942,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329003,995000488,7_1767329003-995000488.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.89,368.79,-192,-55,-224,-32,65,7,-86.1081094437337,-19.8287733710744,-145.034976532897,1.37195160986162,37.993701021592,11.8695316583162,-376.380305528641,371.562314987182,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,28356934,8_1767329004-28356934.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.89,368.79,-192,-55,-224,-32,65,7,-95.6917200550651,-23.0119004166286,-152.181605352611,-1.64833434300055,40.4378716951219,11.4288209010741,-386.144377917051,384.733778476715,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,61714111,9_1767329004-61714111.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.89,368.86,-62,-70,-132,2,25,-24,-98.2738941624733,-23.8266942045865,-158.506129047095,-3.87833832475854,46.7758820856952,8.77759806284933,-362.605779230595,358.583146095276,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
1767329004,95070557,10_1767329004-95070557.png,-195757,201227,0,0,-1.87420534620098,1.92657590379902,147.83,369.07,-13,-118,-95,-2,-34,-24,-91.4439238586511,-32.0732458276034,-153.478135314778,-3.1431863022773,41.7548602711109,3.98414222100969,-362.651106834412,358.46865773201,-0.523598775598299,0.52131479409054,,,,,,,,,,,,,,,,,,,
