sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z)
1767170608,633034424,1_1767170608-633034424.png,1202,-1202,0,0,0.011508119,-0.011508119,47.39,141.29,94,-112,-217,-34,25,41,31.47305282,-6.75681838,-254.0889121,-25.98992192,21.90802763,51.24608452,-84.83017057,216.6965282,0.003170715,-0.125829136,,,,,,,,,
1767170608,666383057,2_1767170608-666383057.png,1202,-1202,0,0,0.011508119,-0.011508119,47.39,141.29,94,-112,-217,-34,25,41,33.41931217,-10.03269439,-252.9344555,-26.23924945,22.00427062,50.92715743,-84.83017057,216.6965282,0.003170715,-0.125829136,,,,,,,,,
1767170608,699730957,3_1767170608-699730957.png,1202,-1202,0,0,0.011508119,-0.011508119,47.39,141.29,94,-112,-217,-34,25,41,35.30499084,-13.2066031,-251.8159335,-26.48081623,22.09751787,50.61815748,3.282729954,202.9615068,0.003170715,-0.059700392,,,,,,,,,
1767170608,733079834,4_1767170608-733079834.png,1202,-1202,0,0,0.011508119,-0.011508119,47.28,141.54,-2,-81,-399,-34,68,65,32.28720364,-31.41826071,-273.9395441,-31.22057706,34.35228325,50.90650413,90.00385225,147.2245882,0.003170715,-0.039378568,,,,,,,,,
1767170608,766427490,5_1767170608-766427490.png,1202,-1202,0,0,0.011508119,-0.011508119,47.26,141.58,-68,-141,-125,-98,40,67,15.82703725,-50.03792097,-258.7017931,-41.13194748,36.93873876,53.99744931,89.96709663,147.3016779,0.003170715,-0.039378568,,,,,,,,,
1767170608,833124268,6_1767170608-833124268.png,1202,-1202,0,0,0.011508119,-0.011508119,47.06,141.5,63,-12,-406,32,19,30,27.25309044,-63.5549087,-266.1896435,-37.83827717,32.62454343,50.75996115,69.98645508,254.8644266,0.003170715,-0.039378568,,,,,,,,,
1767170608,866473145,7_1767170608-866473145.png,1202,-1202,0,0,0.011508119,-0.011508119,46.99,141.46,28,131,-229,44,-32,29,28.31228324,-33.7327871,-264.4663803,-24.01416673,22.81166395,47.02605494,68.12165928,148.7264061,0.003170715,-0.039378568,,,,,,,,,
1767170608,899820801,8_1767170608-899820801.png,1202,-1202,0,0,0.011508119,-0.011508119,47.09,141.63,196,-73,-476,4,26,64,53.37226676,-38.50969558,-283.2691227,-16.66692758,17.40445671,48.06271931,-39.86992815,168.1124814,0.003170715,-0.039378568,,,,,,,,,
1767170608,966517334,9_1767170608-966517334.png,1202,-1202,0,0,0.011508119,-0.011508119,47.25,141.44,195,-72,-302,14,-15,62,77.93019254,-44.37968647,-300.8285553,-12.19030368,15.17925589,50.63593736,41.43818209,199.8975461,0.003170715,-0.039378568,,,,,,,,,
1767170608,999866211,10_1767170608-999866211.png,1202,-1202,0,0,0.011508119,-0.011508119,47.37,141.15,-2,22,-371,37,41,47,72.36640679,-36.11735581,-311.1518482,-3.62628906,17.37628317,50.69880417,58.69637501,188.8087964,0.003170715,-0.039378568,,,,,,,,,
