sec,nanosec,image,motor position #0,motor position #1,motor velocity #0,motor velocity #1,wire length #0,wire length #1,loadcell #0,loadcell #1,fx,fy,fz,tx,ty,tz,fx_kalman,fy_kalman,fz_kalman,tx_kalman,ty_kalman,tz_kalman,fx_estimated,fy_estimated,theta_desired,theta_actual,translation(m)(x),translation(m)(y),translation(m)(z),Rotation(rad)(x),Rotation(rad)(y),Rotation(rad)(z),Rotation(deg)(x),Rotation(deg)(y),Rotation(deg)(z)
1767172447,447159668,1_1767172447-447159668.png,14409,1415,68800,-68100,0.137953814338235,0.0135474111519608,166.9,249.68,48,0,-9978,2075,-506,-17,-3.53758164249894,-18.4602227062795,-10081.8694054063,2067.42040536399,-457.251741628167,-18.6938628584006,31.5533226728439,316.692584753036,0.606310966417871,-0.00399455607508114,2548,-400,2496.4624183575,-418.46022270628,,,,,
1767172447,480508057,2_1767172447-480508057.png,15566,257,68000,-67950,0.149031096813725,0.00246055453431373,166.9,249.68,48,0,-9978,2075,-506,-17,-1.93338529500033,-17.8856163530974,-10078.6362905518,2067.65633335369,-458.769115465563,-18.6411384479023,8.80587899684901,78.8912270069121,0.616994503446833,-0.00932378164167984,2548,-400,2498.066614705,-417.885616353097,,,,,
1767172447,513855469,3_1767172447-513855469.png,18437,-2617,68800,-68050,0.176518458946078,-0.0250555300245098,164.95,248.4,23,16,-9801,2006,-574,-23,1.71291853635375,-12.9301218915862,-10038.0342520406,2058.63959848697,-475.62069060456,-19.2785863271096,-17.4954306483269,86.3378424644469,0.627580568779898,-0.0328907286224214,2523,-384,2501.71291853635,-412.930121891586,,,,,
1767172447,580551270,4_1767172447-580551270.png,22257,-6447,68700,-68200,0.213091681985294,-0.0617244944852941,161.79,244.87,-49,30,-10018,1960,-545,-26,2.42559077067244,-10.2869148961311,-10008.8453017305,2035.75496715643,-497.572592743929,-21.2010768232038,-51.7082254588605,246.412491559982,0.64327324550319,-0.0236895287713177,2451,-370,2502.42559077067,-410.286914896131,,,,,
1767172447,613899902,5_1767172447-613899902.png,25398,-9589,68000,-68750,0.2431640625,-0.0918064491421569,160.57,242,-168,109,-10266,1943,-428,-20,-23.8643786949619,8.22843419005767,-10046.6953581111,2020.17714576637,-488.658538730005,-21.1529590946628,-59.101170629263,243.670645713806,0.653608374482542,-0.0759157516657646,2332,-291,2476.13562130504,-391.771565809942,,,,,
1767172447,680595703,6_1767172447-680595703.png,29016,-13193,68050,-68800,0.277803308823529,-0.12631165747549,161.07,236.38,95,-60,-10321,1980,-564,-12,-41.3965416747556,-3.3208275858799,-10103.8186062924,2000.01676909388,-484.713383000418,-15.8961734987662,-39.7775195837021,207.886799097061,0.666381827176943,-0.0658361556032416,2595,-460,2458.60345832524,-403.32082758588,,,,,
1767172447,713943115,7_1767172447-713943115.png,31193,-15448,68050,-67850,0.29864621629902,-0.147901348039216,161.07,236.38,95,-60,-10321,1980,-564,-12,-25.1908089169724,-10.0550710630043,-10129.6226595563,1997.63850930352,-494.133693153353,-15.4332559956999,-38.8957743048668,221.295979976654,0.67648233166426,-0.0658361556032416,2595,-460,2474.80919108303,-410.055071063004,,,,,
1767172447,747291504,8_1767172447-747291504.png,34334,-18520,68800,-68100,0.328718596813725,-0.177313112745098,165.13,232.2,174,81,-10115,1980,-473,-37,16.5577947359393,-0.211575492001828,-10148.5465589429,1995.5089301631,-487.328991901545,-18.205561842019,-36.9241534173489,248.32311463356,0.686475976812836,-0.0658361556032416,2674,-319,2516.55779473594,-400.211575492002,,,,,
1767172447,813987305,9_1767172447-813987305.png,37207,-21456,68000,-68850,0.356225107230392,-0.205422794117647,167.39,230.94,62,-38,-10263,2023,-382,-45,35.3686367064752,0.537256255686941,-10162.6923539005,1998.33092585864,-470.818310857677,-23.576243644867,-41.0442247986794,248.096430540085,0.698815334249555,-0.0658361556032416,2562,-438,2535.36863670648,-399.462743744313,,,,,
1767172447,847334961,10_1767172447-847334961.png,39660,-23922,68150,-67750,0.379710477941176,-0.229032628676471,172.07,228.84,191,136,-10092,1965,-441,-24,54.0535576632674,15.4919734904782,-10168.0117978536,1998.85113427058,-461.877318430071,-27.092372864314,-10.2411307990552,212.77211356163,0.708562770155354,-0.0658361556032416,2691,-264,2554.05355766327,-384.508026509522,,,,,
