fx,fy,pred_fx,pred_fy
5,31,12.429945,-3.7977428
5,31,-65.5273,19.096062
5,31,-9.369191,1.713604
-27,87,-69.45412,19.917828
-139,-365,-19.592968,5.1812115
-135,-216,-85.95719,24.525589
-366,330,-3.0229373,-0.7218888
-366,330,-82.73231,23.876919
-236,544,-80.61938,23.281693
-236,544,-82.7162,23.823328
6,278,-85.75971,25.069517
-143,103,-27.415617,6.3313966
-79,15,-90.85458,26.19434
-60,-285,-42.53257,10.889152
-26,-281,-94.80504,27.158249
-115,94,-38.231186,9.369852
-56,-71,-41.230343,9.99789
-36,-124,-98.781525,28.225899
-83,141,-105.42982,30.269638
15,108,-56.712383,14.837639
-43,139,-64.93616,16.598667
-181,247,-58.78797,14.994971
-107,131,-66.82128,17.0165
-92,36,-68.89453,16.411102
-247,135,-72.90005,17.429317
-357,217,-80.5147,19.582817
-335,226,-89.41631,21.8455
-132,160,-95.46404,23.887522
-234,154,-94.14188,22.7584
-281,158,-97.63418,23.598793
-205,-3,-100.50417,24.986982
-170,60,-104.572876,26.330322
-308,217,-102.55248,25.729652
-298,209,-98.68009,23.413662
-253,321,-99.42878,23.640633
-193,373,-98.56976,23.008726
-111,300,-97.02966,22.386276
-23,126,-97.90102,22.56768
-60,-32,-98.46813,22.869736
-212,-27,-94.92102,21.48126
-136,109,-90.96908,19.508162
-6,200,-100.22182,23.537178
150,45,-89.11785,18.365572
128,-167,-87.33767,17.608143
28,-17,-78.68835,13.90468
-127,-5,-77.761406,13.372503
-152,12,-75.89947,12.491559
-302,85,-73.71997,11.738286
-190,100,-65.53802,8.584625
3,-15,-63.0863,7.186979
-220,-14,-53.026363,2.9550645
-85,-143,-48.165142,0.96391296
59,-70,-45.741154,-0.5089605
174,-65,-39.728104,-3.4259064
128,204,-25.684855,-11.295655
80,183,-27.812265,-9.444354
9,170,-19.590826,-14.724718
-28,8,-10.580568,-20.053944
79,-44,-9.873119,-19.582664
255,275,-8.022026,-20.223742
250,406,-16.715185,-14.781891
26,482,-4.3300347,-21.801073
-19,268,0.22435054,-23.31894
-24,88,-0.7900007,-22.098686
-176,94,-12.129435,-15.672292
-139,20,-7.281654,-16.860735
-147,13,-0.25957683,-19.98359
-141,129,-1.5799868,-19.1591
-244,29,13.659829,-24.972788
-272,206,4.2440257,-20.462032
-325,330,14.834906,-25.101604
-230,458,8.592099,-22.22306
-242,336,13.026671,-24.122078
-256,167,10.9278345,-24.1152
-89,271,15.866855,-25.820345
-144,201,15.039723,-25.734371
-245,236,0.046481907,-19.160246
-299,285,9.3397455,-24.533606
-287,164,5.092522,-21.868563
-251,181,8.648726,-24.44104
-122,273,10.060831,-24.095999
-183,187,14.223243,-26.260101
-266,-108,4.0918083,-21.8763
-16,11,70.681305,-65.79327
124,-90,6.7784753,-24.767023
-195,-100,-3.464849,-19.109379
-337,-21,-4.00404,-18.68954
-52,111,-10.58862,-15.484869
161,116,26.33961,-40.037678
145,313,26.178366,-42.042732
-14,365,-11.789737,-17.495222
-126,60,-12.272885,-18.039005
-104,-29,15.339224,-40.851994
-76,26,-17.161058,-17.820059
-160,-6,14.419554,-46.108715
-96,38,-14.668949,-22.582575
-448,257,5.9373817,-44.929012
-401,288,12.009138,-61.735733
-199,200,0.021155596,-52.214283
-269,201,-0.8887733,-52.846046
-234,100,-6.658692,-50.870514
-93,150,20.129272,-134.44
-75,123,35.24174,-200.43144
-23,-29,28.116802,-155.42505
-32,33,26.441824,-136.56671
-46,-166,-2.8891623,-39.493896
-191,-15,21.58073,-113.74369
-171,43,14.522287,-104.07164
-125,183,17.006668,-71.72602
-8,-84,18.478193,-92.23965
-74,197,-0.19755983,-32.239143
-67,335,25.042383,-100.49485
-89,369,1.6566509,-31.667849
-135,143,14.337536,-34.43606
-193,300,14.641062,-40.523003
-156,284,-3.6158977,-22.05398
-67,301,16.141678,-38.667686
-109,342,-2.573168,-24.111187
-197,287,-4.502643,-20.423918
-156,243,-5.524982,-19.609602
-100,178,-6.550243,-19.383205
-28,229,7.8395176,-29.14366
-118,264,-8.035599,-19.066822
-95,191,14.083233,-35.08774
216,14,10.512873,-32.639496
159,-50,-7.3337355,-19.546412
-195,-8,12.815749,-34.13315
-50,62,14.484298,-39.29243
-51,58,17.11057,-43.62293
54,32,7.0447264,-39.881493
-26,78,12.950173,-66.48077
-178,124,4.1233034,-72.49577
-252,-45,2.0284932,-138.12727
-186,-172,-2.6797333,-206.55391
-41,-67,4.5022893,-409.83554
-116,-60,6.5526166,-505.0438
-130,-293,15.415008,-441.79355
-260,-193,21.740026,-476.81387
-365,-267,22.974327,-457.3525
-321,-259,17.139275,-535.39374
-131,-415,19.50748,-571.4894
-296,-288,21.349937,-578.269
-420,-143,20.304285,-581.41125
-283,-196,16.510794,-600.0454
-171,-123,16.47235,-594.68396
-212,-139,15.535925,-630.39856
-136,-260,28.73944,-636.8338
-77,-332,31.076279,-650.2649
-110,-381,19.269283,-645.52374
-125,-416,15.510923,-641.2678
-119,-320,17.083038,-668.473
-120,-360,21.735935,-684.137
-83,-322,19.277075,-676.49115
-99,-465,16.900038,-692.5537
-153,-435,16.601318,-713.6686
-89,-443,16.681389,-719.28723
-198,-330,17.2148,-740.7234
-181,-307,17.622877,-733.7176
-178,-398,16.083881,-743.94525
-65,-408,13.870623,-731.9277
-106,-294,14.539042,-745.82764
-166,-242,13.719378,-735.8397
-272,-145,13.115768,-735.87805
-212,-275,11.415399,-742.1408
-259,-466,12.191618,-721.0807
-51,-363,9.468195,-760.9533
35,-284,9.334744,-756.0511
-42,-372,11.184344,-745.44574
-112,-321,10.212529,-752.0854
-115,-384,12.664116,-737.96893
-79,-399,13.014853,-739.0317
