fx,fy,pred_fx,pred_fy
-17.0,-68.0,7.1179776,-96.42012
-17.0,-68.0,6.241752,-95.68533
6.0,-147.0,5.7947755,-92.731705
-189.0,-29.0,7.589112,-95.07721
42.0,-135.0,10.808866,-90.5335
65.0,-171.0,11.073883,-87.2311
76.0,-85.0,13.020632,-85.56981
156.0,-88.0,14.985435,-81.80817
40.0,-76.0,19.20285,-80.8434
70.0,-7.0,21.363638,-79.567696
145.0,-115.0,14.482935,-52.427643
32.0,-155.0,18.055243,-48.889107
41.0,-56.0,24.924778,-45.11801
-16.0,67.0,32.80613,-73.33316
-71.0,-221.0,33.95413,-39.56597
-98.0,-200.0,35.846714,-74.45225
123.0,-168.0,34.927307,-73.72749
183.0,-124.0,35.917953,-71.14627
81.0,-29.0,31.680408,-66.623055
36.0,-108.0,22.331882,-64.71056
103.0,-114.0,19.860165,-63.396027
123.0,-84.0,12.535926,-64.96691
-17.0,-32.0,11.695092,-65.039276
-98.0,-149.0,11.234348,-64.40722
-6.0,-26.0,25.818018,-80.55983
30.0,70.0,23.633656,-76.39655
-138.0,50.0,19.63619,-51.214695
-65.0,52.0,7.9542656,-61.60964
46.0,-2.0,7.5168347,-59.05765
-7.0,26.0,9.670675,-57.800285
47.0,-52.0,14.92082,-56.407795
27.0,0.0,18.665737,-48.242584
-17.0,-22.0,20.407343,-46.157578
-17.0,43.0,26.759377,-60.16886
32.0,54.0,17.025955,-54.98694
28.0,-48.0,19.193628,-55.470108
-50.0,126.0,23.554754,-56.761147
-14.0,142.0,18.37377,-58.138016
-72.0,113.0,19.864256,-59.326893
105.0,-97.0,25.209406,-59.02283
152.0,-155.0,25.471697,-59.91567
77.0,112.0,23.223759,-60.17273
-54.0,82.0,28.057383,-60.12229
199.0,8.0,26.384613,-62.105133
157.0,-23.0,26.415977,-62.51136
66.0,0.0,25.527544,-63.9454
81.0,-174.0,25.079008,-63.401043
129.0,-160.0,24.664371,-61.74705
64.0,-109.0,20.649437,-60.833866
-44.0,-137.0,22.128494,-62.19698
-166.0,53.0,19.124727,-61.431816
-108.0,-45.0,16.472933,-61.97918
-61.0,-122.0,16.127262,-61.90109
-169.0,83.0,14.857439,-61.076458
-162.0,-1.0,13.468778,-61.824715
-19.0,-101.0,13.66983,-61.142944
104.0,-117.0,13.33299,-60.135475
182.0,-171.0,15.134665,-59.669067
57.0,-180.0,14.969395,-58.011635
10.0,-185.0,16.622488,-57.277565
-65.0,-57.0,18.063295,-55.49748
-4.0,48.0,19.805292,-57.61071
-22.0,8.0,20.779121,-56.416107
-100.0,58.0,21.773405,-53.675694
-57.0,-105.0,20.94699,-55.315357
-127.0,-136.0,20.844124,-55.58646
-44.0,-180.0,21.556704,-53.155983
-13.0,-21.0,22.656385,-52.979305
9.0,-66.0,25.169273,-54.30932
95.0,41.0,24.301361,-54.074898
87.0,0.0,23.571444,-53.891773
-129.0,-96.0,22.880816,-54.341274
-49.0,-17.0,23.101543,-52.66493
-67.0,28.0,23.306816,-52.574657
81.0,-21.0,22.96621,-52.87829
124.0,-88.0,23.715155,-52.790882
50.0,229.0,23.645084,-52.255264
-53.0,176.0,22.257267,-51.581516
-47.0,24.0,23.553715,-52.05251
17.0,16.0,23.033422,-51.789574
-43.0,11.0,22.977184,-51.8168
87.0,-79.0,24.355326,-51.39338
63.0,175.0,24.32266,-51.33148
3.0,197.0,25.516699,-51.322594
69.0,47.0,25.801134,-50.320568
124.0,53.0,26.345844,-50.38333
95.0,117.0,27.101152,-49.943573
-10.0,44.0,27.201939,-50.209663
-76.0,18.0,26.816198,-50.63681
-16.0,-35.0,27.491438,-51.17744
-152.0,251.0,28.153559,-51.02971
-117.0,109.0,25.561638,-52.441113
46.0,1.0,25.119661,-53.734013
60.0,-100.0,25.485723,-53.445713
117.0,-162.0,23.807302,-54.37208
154.0,-40.0,18.45936,-51.937447
-31.0,92.0,14.380071,-52.771538
-67.0,-121.0,12.801722,-52.25297
-54.0,-152.0,9.714444,-52.612057
0.0,-167.0,10.391891,-54.42137
-126.0,-63.0,8.210386,-50.64555
-185.0,232.0,9.209152,-50.921955
-54.0,18.0,8.130771,-48.312653
-36.0,-63.0,6.4307256,-46.737183
127.0,-142.0,8.103886,-46.43556
-129.0,-100.0,4.657494,-44.628532
-123.0,-131.0,3.985048,-45.302856
64.0,-32.0,8.379423,-40.500076
82.0,142.0,3.002387,-41.544514
93.0,140.0,3.425791,-40.14959
-107.0,-47.0,2.7082772,-37.91384
35.0,-93.0,23.722492,-39.848537
176.0,-95.0,17.333704,-39.073914
150.0,-85.0,17.033554,-35.67265
86.0,-147.0,10.822373,-31.19442
-59.0,4.0,9.802762,-30.16073
25.0,-76.0,3.5128746,-30.89251
129.0,-146.0,4.5241737,-30.197124
-8.0,43.0,4.09538,-28.97028
-29.0,-68.0,26.234798,-30.01916
102.0,-177.0,25.780092,-31.40305
121.0,-183.0,-2.129503,-27.935013
22.0,1.0,-0.9253341,-30.412489
52.0,-122.0,2.7162647,-28.92887
92.0,-263.0,17.94108,-24.547075
-33.0,-58.0,14.038035,-23.303177
-120.0,-60.0,6.750097,-31.839796
-72.0,-81.0,13.017321,-28.868114
