fx,fy,pred_fx,pred_fy
-121.0,219.0,20.451437,-42.146614
-42.0,117.0,21.180965,-43.80648
-42.0,117.0,21.708466,-43.46588
135.0,328.0,19.038942,-39.06231
26.0,324.0,19.139145,-39.339287
112.0,339.0,20.64093,-39.667274
-49.0,-82.0,2.6537282,-34.81119
-20.0,208.0,1.2972121,-46.334827
19.0,345.0,-1.7898055,-102.14454
-47.0,343.0,-0.66427827,-117.844345
96.0,439.0,18.492739,-93.3702
240.0,256.0,21.968872,-164.61435
160.0,-69.0,8.981151,-31.23755
-62.0,-49.0,16.877115,-40.223526
-121.0,246.0,0.85237813,-79.43673
135.0,57.0,31.859707,-77.72126
158.0,-35.0,32.205444,-81.0483
-8.0,9.0,42.913082,-94.12921
-236.0,-86.0,44.940548,-100.48797
-208.0,-149.0,46.968666,-109.19224
-127.0,-101.0,43.88795,-69.75336
-5.0,-209.0,32.26337,-116.47364
99.0,-226.0,47.414215,-115.80003
189.0,-59.0,41.357914,-108.83903
43.0,-34.0,44.239723,-61.68214
84.0,-5.0,33.911137,-96.78609
-238.0,64.0,61.913334,-81.58349
-424.0,5.0,20.034721,-69.08792
-301.0,-11.0,54.14231,-74.07669
-157.0,155.0,36.876717,-53.699192
-104.0,26.0,86.24699,-112.49678
14.0,88.0,30.13057,-57.08971
-27.0,272.0,57.74774,-109.76124
131.0,-81.0,12.297403,-39.238842
-54.0,-25.0,50.7932,-120.15905
-176.0,-397.0,39.262066,-116.47393
-100.0,-185.0,40.469353,-60.8962
-166.0,303.0,28.6495,-99.31342
-154.0,162.0,45.278885,-59.58682
-63.0,49.0,40.737484,-74.73324
12.0,-62.0,66.00204,-106.42231
-76.0,587.0,52.1829,-67.91524
-190.0,560.0,1.367866,-119.28527
-286.0,-180.0,25.562872,-145.53233
-223.0,-267.0,62.284008,-85.64905
-61.0,-151.0,62.59156,-92.14121
-199.0,-233.0,33.35149,-132.37979
-9.0,-154.0,-36.77707,-176.61069
2.0,-124.0,-52.696083,-212.45688
78.0,-265.0,38.736187,-282.54138
109.0,-233.0,17.268438,-272.1639
-18.0,-221.0,1.6691842,-276.928
-225.0,-145.0,-55.45574,-206.63673
-508.0,-204.0,-67.53432,-187.3074
-426.0,-282.0,-65.06168,-202.74513
-498.0,-281.0,-55.675755,-173.1312
-144.0,-254.0,-69.84219,-215.20459
-48.0,-171.0,-78.19124,-201.22412
-26.0,-248.0,-15.487313,-289.9817
-137.0,-472.0,-43.70076,-267.34293
-284.0,-407.0,-61.404243,-208.98367
-145.0,-354.0,0.6916535,-297.4832
-176.0,-280.0,-38.94182,-238.85626
-76.0,-319.0,-36.18385,-267.76492
26.0,-314.0,-51.284042,-210.93729
-45.0,-275.0,-1.6774607,-286.7872
-272.0,-118.0,6.9417973,-319.51538
-136.0,-234.0,6.2361674,-325.80423
35.0,-381.0,9.239933,-329.30048
-117.0,-547.0,11.83692,-359.5528
-143.0,-620.0,15.345912,-405.62726
-111.0,-551.0,62.511944,-426.5097
-192.0,-425.0,22.132519,-424.75955
-103.0,-347.0,33.251484,-436.52036
76.0,-374.0,23.84828,-474.77078
-20.0,-796.0,33.555595,-457.2456
-97.0,-808.0,38.925354,-535.8806
-139.0,-774.0,24.720284,-446.34756
-160.0,-459.0,43.74963,-510.47122
-196.0,-332.0,43.044907,-552.4711
-129.0,-676.0,39.09855,-542.5358
103.0,-441.0,26.132713,-556.01166
55.0,-292.0,32.213234,-589.5184
1.0,-906.0,28.67528,-632.3559
80.0,-876.0,42.673714,-600.04285
8.0,-739.0,34.98997,-572.35986
18.0,-689.0,28.581118,-608.423
-105.0,-591.0,27.532804,-644.1498
-130.0,-685.0,36.55962,-678.11414
-114.0,-682.0,34.616962,-644.7737
68.0,-238.0,30.769442,-692.0105
421.0,-407.0,34.044067,-692.96655
450.0,-768.0,30.99504,-690.2009
336.0,-936.0,31.346947,-707.56445
-184.0,-465.0,34.371426,-595.49097
-248.0,-470.0,26.337597,-599.4906
-308.0,-433.0,31.037315,-601.53845
-180.0,-724.0,18.542158,-585.1844
-125.0,-648.0,20.209929,-611.5067
-61.0,-616.0,16.603136,-537.53864
-253.0,-496.0,13.785097,-507.835
-89.0,-591.0,31.62573,-532.2812
-19.0,-299.0,13.157135,-516.5216
23.0,-176.0,-40.300022,-388.7866
58.0,-187.0,-18.07287,-406.28397
-75.0,-485.0,-27.95169,-274.5348
-126.0,-512.0,-47.581142,-209.48318
-74.0,-286.0,-57.29794,-170.42159
-98.0,-147.0,-52.52932,-141.66638
-52.0,80.0,-52.778103,-139.2263
38.0,-185.0,-10.208206,-118.028336
-112.0,6.0,34.169334,-88.84154
-23.0,54.0,43.40714,-73.57876
213.0,-40.0,27.848083,-96.07952
162.0,72.0,57.550587,-86.26247
18.0,59.0,31.509424,-111.68762
-7.0,-193.0,44.558968,-104.65297
259.0,-376.0,42.23661,-106.57118
309.0,57.0,24.822887,-90.42546
141.0,163.0,35.298954,-62.250713
117.0,12.0,40.954124,-108.07128
82.0,-1.0,41.267002,-96.28987
-29.0,65.0,45.20966,-127.39488
-157.0,-62.0,29.898735,-89.882965
-186.0,-31.0,34.78048,-111.444466
-359.0,486.0,45.633907,-118.64304
-330.0,271.0,52.998863,-80.11005
141.0,330.0,38.77119,-64.451355
339.0,90.0,27.319218,-88.115204
245.0,-187.0,42.968346,-129.61601
95.0,-145.0,40.21797,-117.31031
10.0,-90.0,42.399864,-115.93129
-16.0,34.0,51.604355,-76.35442
86.0,20.0,36.985554,-75.09963
-9.0,-110.0,9.76185,-131.65216
49.0,-104.0,78.30751,-108.567924
261.0,134.0,50.679947,-117.69117
244.0,-121.0,33.221027,-111.40534
176.0,-168.0,50.904507,-121.132126
