fx,fy,pred_fx,pred_fy
176,437,-142.0192,15.44533
-111,687,-139.37259,11.940467
-159,456,-145.93509,6.999556
168,-172,-144.85645,13.022877
168,-172,-146.02335,6.6757216
168,-172,-158.27258,60.926586
-18,70,-140.22778,10.813638
-18,70,-138.3635,12.807799
-305,-21,-140.88159,13.314471
-187,-94,-142.22057,12.755212
-74,-139,-145.00737,7.145998
117,-170,-138.2572,10.811059
138,-189,-144.71248,5.71955
71,-179,-139.05309,11.73671
71,-179,-138.60709,10.987019
-90,47,-143.06088,13.643464
-90,47,-139.97964,10.054633
158,-191,-140.6876,10.872244
178,-198,-149.05516,8.15533
-62,-77,-141.85782,14.684606
-93,-144,-141.67384,13.763254
128,-184,-140.5578,11.255257
128,-184,-140.8812,10.842296
102,-4,-140.46663,11.878566
156,327,-140.05238,12.745611
-217,-141,-141.07893,11.234336
-200,-439,-142.64177,11.739718
-124,-454,-141.90393,12.428369
-56,-78,-140.88678,12.195809
-56,-78,-141.49623,10.635242
-187,-54,-141.08699,11.519913
-98,-115,-141.17342,12.311157
519,-858,-140.29895,11.689424
519,-858,-138.45897,11.767946
-80,-65,-141.26778,11.488675
-325,147,-142.47676,11.290649
-255,270,-139.17894,12.113561
-67,312,-145.5202,6.2686357
-192,60,-140.46402,12.516348
-192,60,-142.7573,11.512032
-60,8,-139.78119,12.001939
-7,44,-139.3476,11.532092
-101,27,-141.32947,11.76981
-178,-180,-141.00348,11.903356
-165,-197,-144.24226,14.160023
-157,-17,-142.51085,11.919977
-263,-15,-142.2307,12.419054
-249,70,-146.35428,7.9505687
-276,67,-140.44507,11.62523
-95,84,-145.42883,14.527847
-142,-202,-141.54974,11.010088
-191,-326,-141.48753,11.451707
-191,-326,-141.936,11.351833
-191,-326,-141.46027,10.573198
-123,43,-143.5654,8.564708
-167,243,-142.13452,7.3745446
-167,243,-140.52605,9.031116
-137,304,-141.98633,10.3276
-106,-368,-142.55435,11.253107
-118,-362,-159.11777,58.3041
-118,-362,-139.82028,10.424463
-56,-162,-139.87762,7.8731923
592,-500,-144.29602,15.425556
592,-500,-159.37973,59.38393
357,-231,-145.9101,10.275586
474,129,-142.49416,9.29964
100,-109,-141.81288,10.148774
-252,-333,-144.49643,13.0727415
-286,-230,-159.19069,58.321293
-286,-230,-140.49493,10.260684
27,-136,-160.16757,57.910194
-60,-132,-142.35434,11.64701
297,-71,-144.12082,12.439545
101,-35,-141.29837,11.034304
-375,-287,-140.23233,8.926658
-375,-287,-141.98126,9.217678
-375,-287,-155.65266,63.012592
-44,-47,-140.41559,10.651578
-102,128,-141.13005,9.439348
-102,128,-143.96698,9.911917
-58,-636,-158.73027,58.097187
-332,-144,-158.61981,59.915535
-478,202,-158.83476,59.219
-382,25,-140.6165,8.49034
-337,-176,-142.92276,6.3871365
-304,-79,-156.94879,62.19212
-262,275,-158.34843,60.527237
204,34,-141.03452,9.144601
204,34,-158.34225,60.62897
276,62,-160.1288,58.08902
48,230,-145.24103,11.926425
54,-88,-158.00536,61.26102
250,-243,-158.96243,59.909515
250,-243,-160.03204,58.70044
165,113,-159.16238,59.770668
165,113,-158.61806,60.272038
-134,-287,-158.82437,59.752182
21,-107,-160.3472,58.99619
54,-107,-161.43486,55.547924
-90,-60,-159.82774,58.85863
-90,-60,-158.98776,60.343254
-208,-40,-158.57208,59.740578
-178,-223,-161.38564,57.069374
-589,-386,-161.35829,56.881664
-414,-213,-158.51215,59.841454
-414,-213,-158.8299,58.968964
-184,128,-157.91646,60.288803
1,98,-139.2946,9.351224
123,61,-162.30595,52.63069
123,12,-157.64832,60.597736
63,12,-159.87677,57.544807
-69,-110,-160.89983,58.345367
-100,-32,-160.8271,57.908478
-190,-211,-159.24771,60.386955
-211,-242,-159.69371,57.387188
-244,-37,-159.93944,56.88883
-244,-37,-161.15738,56.01992
-116,-18,-157.31602,55.13525
172,-18,-150.60896,53.870003
172,-18,-147.86841,49.442787
124,-47,-149.42778,52.003227
-87,-51,-133.58754,37.95612
96,-547,-150.9293,63.45063
96,-547,-147.49156,62.4274
101,-398,-154.90425,82.51803
-64,-388,-179.81183,103.26636
-64,-388,-178.88521,106.10707
-61,-181,-178.8878,114.61976
177,-176,-189.7259,122.971535
24,-101,-192.76306,128.63118
-186,-69,-192.09184,133.97388
-221,-378,-191.71182,135.86215
-123,-207,-190.3266,137.46455
41,-172,-183.5579,137.60025
39,-41,-180.05548,138.76018
-14,-321,-176.84605,141.24725
-14,-321,-169.05847,126.49488
258,-450,-167.46019,125.81741
258,-450,-156.54182,112.0619
147,-472,-143.64183,95.82733
-150,-478,-140.23285,92.5311
-97,-360,-125.034454,75.30569
-290,-268,-115.59268,65.16595
-428,-509,-106.52261,54.302593
-63,-848,-81.55931,28.846916
239,-1074,-59.1615,6.352174
-206,-513,-26.484907,-25.273552
-206,-513,-6.895655,-45.71381
-206,-513,10.903937,-62.23295
-4,-204,20.697037,-68.403854
-140,-179,25.663527,-71.51596
-120,-273,36.88756,-80.288155
-244,-351,43.274597,-86.04854
-244,-351,44.882233,-86.341705
-157,-649,34.60527,-98.967094
14,-599,47.856518,-101.792336
14,-599,51.497208,-96.47142
78,-609,51.26245,-98.56847
27,-366,34.420845,-88.8487
-40,-522,50.89243,-114.1939
-102,-531,38.089783,-99.57894
-296,-380,36.241417,-105.55798
58,-576,49.7117,-130.28203
56,-331,37.302654,-118.501045
96,-276,36.56741,-121.27097
-118,-389,44.959705,-136.99055
-118,-389,48.481426,-134.96243
-158,-726,44.90165,-143.46352
-141,-865,34.42669,-130.5431
-38,-345,41.969124,-146.02339
-211,-220,43.765343,-147.3292
-211,-220,39.99198,-150.532
-211,-220,40.73372,-148.7006
-27,-477,36.580204,-158.74348
-204,37,38.9362,-160.0159
-348,-383,41.081013,-157.07516
-348,-383,42.45253,-154.54854
-28,-696,28.24785,-155.6119
27,-454,27.164663,-159.52457
-93,-373,26.729765,-161.939
-114,-308,25.691906,-163.41931
-466,-432,25.813797,-163.53252
-534,-439,21.922247,-169.22083
-526,-649,20.093817,-175.68018
-270,-285,16.890167,-179.87212
-270,-285,24.88484,-177.16466
-150,-546,28.839252,-173.16658
-150,-546,13.934782,-184.28671
-265,-679,13.94725,-187.38536
-259,-694,24.898932,-181.00581
-590,-432,23.789444,-183.99326
-590,-432,20.416565,-187.04347
-595,-385,5.9675136,-205.40273
-35,-571,16.204409,-199.30174
-60,-427,1.9084853,-219.2776
-60,-427,1.4915752,-214.15628
-415,-264,18.137197,-208.66042
-273,-460,-1.0876173,-222.92747
-103,-644,15.444165,-208.32942
-60,-770,-2.7896106,-228.42735
-60,-770,-4.145802,-232.1281
-135,-914,-5.028976,-233.51814
-374,-977,-6.358737,-236.45601
-312,-1013,-6.722527,-236.88373
-467,-694,6.86439,-225.05345
-686,-241,-10.213661,-243.7056
-921,-297,-10.235286,-241.90617
-620,-581,1.2306494,-232.73793
-620,-581,0.43637723,-237.21243
-406,-425,-13.717199,-249.1195
-406,-425,-13.703367,-246.37996
-241,-441,-16.50108,-250.85791
-161,-975,-8.908447,-248.92708
12,-599,-24.545301,-259.272
12,-599,-15.7259655,-252.88402
-25,-632,-11.513031,-248.23613
-84,-583,-11.417894,-250.72221
-6,-612,-32.082024,-266.187
133,-547,-31.870646,-263.1324
-56,-590,-37.200275,-269.15298
-56,-590,-19.164629,-258.16867
2,-630,-26.69044,-266.5898
2,-630,-46.324306,-276.84576
-269,-503,-30.851164,-266.2442
-282,-476,-54.143383,-288.47256
-37,-572,-33.306778,-270.20126
-10,-797,-52.778168,-280.4909
-172,-1058,-42.67816,-277.24338
-331,-854,-67.852325,-297.56213
-240,-903,-47.54536,-282.29736
-263,-647,-65.889854,-293.58328
-298,-581,-70.64555,-304.2579
-453,-738,-67.1576,-289.71332
-320,-1040,-70.594185,-298.4316
-334,-489,-59.17124,-300.6834
-269,-259,-60.30469,-300.8684
-365,-680,-82.2502,-309.3676
-238,-909,-65.46853,-314.2886
-237,-832,-70.46503,-314.03656
-2,-693,-74.3693,-324.9571
-2,-693,-82.546715,-324.14764
-418,-873,-74.4784,-322.2466
-497,-927,-78.07759,-330.65387
-100,-587,-83.295074,-340.51462
-100,-587,-84.62373,-335.44186
-336,-567,-94.23071,-332.6933
-410,-683,-89.846344,-346.15894
0,-490,-83.36417,-341.26718
89,-512,-92.4969,-330.3793
115,-676,-91.56087,-330.18127
-22,-836,-86.86277,-345.69968
-183,-697,-95.25234,-328.2873
-251,-796,-94.75854,-325.42822
-70,-1027,-96.6886,-361.33832
86,-1076,-97.04538,-361.28787
86,-980,-97.179085,-363.60385
-321,-499,-96.83679,-363.53867
-321,-499,-96.7251,-368.34418
-345,-616,-96.751656,-366.41992
96,-880,-97.64684,-364.77023
-344,-767,-97.24994,-363.9184
-344,-767,-97.14993,-364.40787
-2,-548,-96.455666,-372.85922
-57,-463,-97.29436,-364.67395
-57,-463,-98.37813,-367.07004
-200,-597,-97.007515,-367.62213
-24,-661,-97.58502,-365.4894
-87,-354,-96.722694,-372.36115
106,-383,-94.28734,-370.64957
-240,-801,-93.93258,-364.78757
-193,-1147,-93.20889,-370.4239
-218,-1458,-92.30793,-371.84976
-299,-1360,-92.79575,-367.95084
-299,-1360,-92.03155,-370.71832
-372,-953,-92.01284,-372.1111
-212,-1010,-94.2252,-374.53656
-154,-797,-90.11513,-382.94122
-146,-535,-81.89583,-376.5352
-206,-490,-83.820305,-381.17618
-274,-475,-80.123634,-375.29843
-188,-843,-75.74654,-386.51285
-32,-865,-70.56678,-372.30356
22,-644,-58.139812,-362.24963
-419,-171,-53.99292,-365.18304
-440,-604,-54.031494,-371.7437
-440,-604,-50.15157,-368.74323
-561,-603,-44.516205,-362.37115
-234,-900,-43.309566,-370.3253
116,-557,5.74737,-105.5471
132,-767,3.9962823,-119.4585
217,-802,3.397153,-131.36343
136,-679,12.718016,-119.600365
342,-718,17.535145,-117.86942
133,-514,21.505207,-117.552895
-268,-509,-4.955465,-262.18106
-268,-509,-4.74675,-263.30692
-46,-774,2.923421,-244.66422
-46,-774,5.007257,-243.11023
-121,-721,12.315197,-234.99776
7,-288,32.982895,-203.1187
70,-104,44.368954,-188.31071
-161,-150,50.358562,-180.10295
-73,-24,54.479023,-162.20981
-102,-17,57.714493,-145.70743
-66,-103,50.9312,-129.70056
-74,-78,67.75306,-75.98202
55,-150,57.830082,-73.56572
55,-150,49.644165,-78.54102
35,-100,49.88983,-73.47731
-96,-103,48.825737,-73.98112
-80,-174,43.05952,-76.0389
31,-339,34.67346,-79.24343
-191,-412,38.053417,-81.3879
-216,-232,22.554365,-73.810745
-216,-232,3.8655598,-63.95629
30,-357,3.553202,-66.04975
439,152,-1.2555503,-66.38978
439,152,-5.4567957,-63.20015
295,147,-3.962998,-65.335884
-17,-59,-3.5443995,-66.187164
120,-139,-6.45212,-64.37642
-4,-214,-5.764608,-65.13886
-4,-214,-9.07034,-62.47668
-200,-206,-4.245159,-66.584076
-581,64,3.5278757,-72.36724
-380,305,-1.4853703,-69.1193
-24,121,3.629181,-73.55755
31,112,1.3231229,-71.72832
31,112,-1.2446405,-69.126175
31,112,-1.1245028,-69.06829
-118,-179,-3.5649853,-67.64642
-118,-179,0.15544999,-70.61424
-282,-309,0.52943516,-70.73847
-81,109,6.2938333,-74.47532
-81,109,7.9830337,-76.849205
