fx,fy,pred_fx,pred_fy
-17.0,-68.0,1.790101,-30.97533
-17.0,-68.0,-2.2075598,-28.887745
6.0,-147.0,-9.533747,-22.360332
-189.0,-29.0,-16.471014,-24.98153
42.0,-135.0,-2.8484454,-30.210451
65.0,-171.0,-1.4810194,-27.532942
76.0,-85.0,4.9498506,-27.079144
156.0,-88.0,23.322466,-30.135654
40.0,-76.0,31.003807,-34.866932
70.0,-7.0,36.741707,-23.378405
145.0,-115.0,8.434946,-8.410664
32.0,-155.0,2.256235,-0.64795136
41.0,-56.0,6.8530254,-7.120628
-16.0,67.0,49.45987,-22.13938
-71.0,-221.0,5.785294,-5.456606
-98.0,-200.0,46.08238,-28.829714
123.0,-168.0,44.12803,-31.049698
183.0,-124.0,43.95159,-33.87795
81.0,-29.0,38.049778,-29.237946
36.0,-108.0,22.686516,-14.544603
103.0,-114.0,16.98985,-11.550854
123.0,-84.0,15.280843,-16.00544
-17.0,-32.0,10.730354,-13.468498
-98.0,-149.0,7.287144,-7.960018
-6.0,-26.0,5.0715466,5.619964
30.0,70.0,7.0745983,1.2522116
-138.0,50.0,7.236362,-39.972485
-65.0,52.0,5.6683383,-19.942465
46.0,-2.0,6.786398,-22.118317
-7.0,26.0,8.199216,-23.31636
47.0,-52.0,10.35572,-27.87254
27.0,0.0,7.4492326,-38.21303
-17.0,-22.0,8.353317,-38.418365
-17.0,43.0,19.580536,-44.90193
32.0,54.0,9.068624,-43.261837
28.0,-48.0,7.9919953,-41.783375
-50.0,126.0,10.432088,-51.028275
-14.0,142.0,7.7299004,-58.234165
-72.0,113.0,10.930173,-59.810493
105.0,-97.0,16.511442,-61.795055
152.0,-155.0,18.166159,-64.44276
77.0,112.0,18.04206,-66.178566
-54.0,82.0,20.588913,-67.76693
199.0,8.0,21.878218,-70.511215
157.0,-23.0,22.659048,-72.58204
66.0,0.0,21.707428,-74.75817
81.0,-174.0,20.642424,-76.156685
129.0,-160.0,19.220253,-76.60074
64.0,-109.0,14.950627,-73.9099
-44.0,-137.0,17.349678,-76.912964
-166.0,53.0,11.361175,-77.27721
-108.0,-45.0,7.4868975,-77.9703
-61.0,-122.0,4.000374,-74.44108
-169.0,83.0,-0.37205163,-71.91918
-162.0,-1.0,-1.982935,-72.15317
-19.0,-101.0,-3.237172,-72.17939
104.0,-117.0,-3.306332,-70.459915
182.0,-171.0,0.29734227,-71.12908
57.0,-180.0,3.466508,-69.98004
10.0,-185.0,7.6484666,-69.86942
-65.0,-57.0,10.130121,-69.85968
-4.0,48.0,13.814449,-68.45873
-22.0,8.0,17.531313,-65.666595
-100.0,58.0,15.803799,-69.217026
-57.0,-105.0,18.168627,-63.220497
-127.0,-136.0,20.386368,-60.05437
-44.0,-180.0,19.392797,-62.20744
-13.0,-21.0,21.404226,-63.073914
9.0,-66.0,26.393963,-61.1567
95.0,41.0,26.19999,-60.343388
87.0,0.0,27.411432,-59.78513
-129.0,-96.0,29.602678,-58.853893
-49.0,-17.0,24.644045,-55.85169
-67.0,28.0,24.190834,-55.50794
81.0,-21.0,24.089205,-53.59502
124.0,-88.0,23.75178,-53.71653
50.0,229.0,22.951859,-53.94952
-53.0,176.0,26.754051,-59.855057
-47.0,24.0,24.369287,-55.20316
17.0,16.0,26.543388,-57.97481
-43.0,11.0,25.355844,-53.521084
87.0,-79.0,25.776392,-56.39003
63.0,175.0,27.271553,-56.183834
3.0,197.0,28.006275,-56.807
69.0,47.0,26.220251,-57.880527
124.0,53.0,25.951532,-58.113228
95.0,117.0,24.598522,-60.109825
-10.0,44.0,24.560923,-60.02299
-76.0,18.0,23.344675,-60.280483
-16.0,-35.0,23.331818,-60.43896
-152.0,251.0,24.641123,-65.57073
-117.0,109.0,22.322142,-65.83124
46.0,1.0,22.841785,-64.9308
60.0,-100.0,25.63424,-70.544174
117.0,-162.0,23.557222,-65.5256
154.0,-40.0,23.390068,-71.69794
-31.0,92.0,21.49144,-71.6293
-67.0,-121.0,19.482803,-72.110466
-54.0,-152.0,18.096544,-70.38999
0.0,-167.0,19.684765,-69.46047
-126.0,-63.0,17.620476,-76.84247
-185.0,232.0,15.783278,-71.08466
-54.0,18.0,18.626904,-73.59953
-36.0,-63.0,20.359678,-73.05933
127.0,-142.0,22.785484,-68.1243
-129.0,-100.0,19.765419,-60.468193
-123.0,-131.0,19.881466,-56.47973
64.0,-32.0,19.948612,-54.02174
82.0,142.0,22.605862,-61.136353
93.0,140.0,20.508518,-55.581158
-107.0,-47.0,20.062971,-52.66536
35.0,-93.0,37.430065,-83.39166
176.0,-95.0,34.26895,-78.29929
150.0,-85.0,32.6219,-75.75103
86.0,-147.0,29.507542,-72.64193
-59.0,4.0,25.624434,-69.405876
25.0,-76.0,19.884842,-58.840565
129.0,-146.0,17.653528,-53.69131
-8.0,43.0,21.189926,-56.389454
-29.0,-68.0,10.93764,-66.48191
102.0,-177.0,17.15538,-61.028027
121.0,-183.0,16.833801,-48.522
22.0,1.0,15.372732,-40.94599
52.0,-122.0,9.189086,-44.0538
92.0,-263.0,-9.124695,-39.814293
-33.0,-58.0,-18.90682,-34.06437
-120.0,-60.0,-4.8143516,-23.410501
-72.0,-81.0,-4.485369,-20.53511
-85.0,14.0,-7.2790565,-14.413779
-24.0,53.0,-5.793311,-14.39028
30.0,68.0,-11.599205,-3.996772
-89.0,53.0,-13.0596895,-6.572402
26.0,22.0,-15.600633,-8.625885
76.0,-134.0,-23.718754,-2.593824
-83.0,58.0,-24.900583,-1.102036
-30.0,25.0,-1.7503225,-11.892456
45.0,-38.0,13.141873,-18.066088
28.0,-51.0,15.183954,-19.605305
20.0,64.0,22.841461,-23.80512
129.0,20.0,28.3061,-27.379623
121.0,33.0,27.316036,-28.841177
102.0,47.0,27.458578,-31.370523
57.0,-16.0,26.442928,-35.06152
-32.0,28.0,23.448254,-38.58014
-56.0,73.0,23.273632,-41.987564
81.0,-39.0,20.363379,-49.20334
62.0,-59.0,13.809384,-46.320927
8.0,3.0,13.420009,-49.9708
44.0,-185.0,-8.404714,-59.179016
-31.0,-247.0,8.900171,-71.55594
-49.0,-148.0,2.2090242,-72.49964
-8.0,-88.0,-9.163009,-59.65574
-56.0,6.0,-21.87331,-40.044556
-30.0,44.0,-0.9529333,-45.55963
0.0,64.0,0.0068689585,-48.84612
-24.0,7.0,-5.1225533,-48.607685
18.0,-191.0,-8.146385,-35.787853
26.0,-60.0,-1.005664,-31.741644
56.0,49.0,-1.6850585,-26.497818
-4.0,22.0,5.465079,-28.866968
-85.0,-127.0,-0.5475175,-14.805103
-105.0,-137.0,12.811008,-36.151237
-110.0,-38.0,10.360525,-39.401188
-192.0,56.0,4.8621826,-39.009003
-162.0,-118.0,1.8691971,-42.04674
39.0,-14.0,-11.836818,-27.394238
-226.0,74.0,-19.777136,-17.43762
-281.0,-161.0,-19.45231,-20.213854
-156.0,30.0,-21.319378,-9.206637
-35.0,42.0,-22.906624,-4.663928
16.0,59.0,-16.598099,-14.268054
-49.0,95.0,-13.374579,-18.64727
-143.0,6.0,-8.867146,-20.115702
-78.0,137.0,-8.099434,-22.877464
-60.0,172.0,-0.9441665,-43.273586
-32.0,58.0,0.45637852,-50.191036
25.0,-7.0,1.7524363,-57.908897
-11.0,18.0,-2.379714,-57.327717
8.0,69.0,-7.8754587,-18.930267
-27.0,28.0,-3.4436789,-15.237981
23.0,1.0,-5.3275666,-6.952549
46.0,-3.0,8.809061,2.8854258
44.0,202.0,12.867636,-12.553738
