fx,fy,pred_fx,pred_fy
-121.0,219.0,-12.421271,83.26084
-42.0,117.0,-11.526018,75.46932
-42.0,117.0,-12.115407,81.591225
135.0,328.0,-18.273273,81.06979
26.0,324.0,-17.456726,82.87653
112.0,339.0,-17.326717,87.40907
-49.0,-82.0,13.297468,8.526449
-20.0,208.0,17.6571,3.7721016
19.0,345.0,28.760286,-6.665827
-47.0,343.0,33.91562,-14.056559
96.0,439.0,21.474035,-10.955772
240.0,256.0,53.264725,-46.689182
160.0,-69.0,25.343441,51.000057
-62.0,-49.0,28.428446,83.05149
-121.0,246.0,52.81054,10.205804
135.0,57.0,59.966717,0.51785254
158.0,-35.0,56.47649,-6.4427247
-8.0,9.0,68.84703,-21.14409
-236.0,-86.0,61.182247,-37.447002
-208.0,-149.0,46.391357,-59.08072
-127.0,-101.0,42.883015,-3.0603747
-5.0,-209.0,48.52182,-85.85653
99.0,-226.0,39.419155,-85.76912
189.0,-59.0,32.12388,-70.57856
43.0,-34.0,10.919393,39.562683
84.0,-5.0,28.753468,-63.293003
-238.0,64.0,26.94861,-20.146652
-424.0,5.0,19.260126,-37.43454
-301.0,-11.0,12.141355,-11.906212
-157.0,155.0,-2.7872727,68.0925
-104.0,26.0,31.216484,-74.433334
14.0,88.0,20.89283,13.169318
-27.0,272.0,15.4491005,-93.37937
131.0,-81.0,-47.72284,133.90482
-54.0,-25.0,21.192719,-107.431206
-176.0,-397.0,31.001015,-95.79008
-100.0,-185.0,9.426439,0.015479327
-166.0,303.0,31.352856,-71.20904
-154.0,162.0,9.352083,29.773857
-63.0,49.0,30.881657,-26.814201
12.0,-62.0,33.226223,-55.350174
-76.0,587.0,41.057312,29.78403
-190.0,560.0,51.222256,-58.532063
-286.0,-180.0,44.710926,-145.8162
-223.0,-267.0,36.917305,-18.306528
-61.0,-151.0,41.194332,-24.90358
-199.0,-233.0,41.59118,-65.15347
-9.0,-154.0,38.314278,-197.46979
2.0,-124.0,32.861004,-164.76852
78.0,-265.0,31.792688,-141.48943
109.0,-233.0,53.42168,-133.8498
-18.0,-221.0,-2.5784929,-220.84303
-225.0,-145.0,-50.89993,-170.50871
-508.0,-204.0,-125.701965,-152.31725
-426.0,-282.0,-110.026215,-181.01169
-498.0,-281.0,-102.17629,-125.85266
-144.0,-254.0,-92.51281,-199.6369
-48.0,-171.0,-63.294235,-175.27309
-26.0,-248.0,-53.62822,-237.62625
-137.0,-472.0,-68.662506,-228.6688
-284.0,-407.0,-116.95471,-195.83328
-145.0,-354.0,-98.61613,-246.20486
-176.0,-280.0,-72.47859,-206.79292
-76.0,-319.0,-43.9813,-228.53568
26.0,-314.0,-51.11189,-190.24469
-45.0,-275.0,-58.105328,-230.15843
-272.0,-118.0,-66.60938,-253.36533
-136.0,-234.0,-65.44574,-262.2205
35.0,-381.0,-17.188072,-270.52396
-117.0,-547.0,-24.748951,-291.23
-143.0,-620.0,-34.0893,-325.94824
-111.0,-551.0,63.859043,-300.05737
-192.0,-425.0,-11.919161,-367.43988
-103.0,-347.0,3.5920355,-368.72733
76.0,-374.0,-7.6650553,-474.4359
-20.0,-796.0,-2.9529977,-441.48276
-97.0,-808.0,0.43806565,-549.444
-139.0,-774.0,0.13129258,-471.20874
-160.0,-459.0,10.945823,-520.8622
-196.0,-332.0,23.624563,-620.0386
-129.0,-676.0,32.6545,-595.90436
103.0,-441.0,23.081347,-603.8485
55.0,-292.0,34.538902,-657.9319
1.0,-906.0,26.290321,-653.4259
80.0,-876.0,43.011074,-639.9442
8.0,-739.0,37.006012,-623.44525
18.0,-689.0,25.284931,-613.5522
-105.0,-591.0,21.342989,-631.41705
-130.0,-685.0,32.993027,-707.8141
-114.0,-682.0,32.065693,-638.26245
68.0,-238.0,28.71249,-663.6449
421.0,-407.0,34.665794,-711.7865
450.0,-768.0,28.731842,-664.7223
336.0,-936.0,31.359154,-686.9111
-184.0,-465.0,33.814964,-619.2776
-248.0,-470.0,20.845228,-584.4749
-308.0,-433.0,32.538776,-625.1628
-180.0,-724.0,24.924843,-485.5379
-125.0,-648.0,41.050625,-680.63086
-61.0,-616.0,20.291817,-514.35925
-253.0,-496.0,27.999456,-449.12424
-89.0,-591.0,24.024784,-548.1332
-19.0,-299.0,25.263956,-461.78357
23.0,-176.0,14.570343,-325.2077
58.0,-187.0,9.898547,-317.3311
-75.0,-485.0,18.85549,-227.52019
-126.0,-512.0,21.354483,-179.51073
-74.0,-286.0,21.192524,-157.11902
-98.0,-147.0,20.966406,-139.4183
-52.0,80.0,22.450722,-130.0595
38.0,-185.0,3.1385646,-119.23913
-112.0,6.0,14.960563,-49.80888
-23.0,54.0,-5.512189,-3.3942394
213.0,-40.0,15.9690695,-71.24486
162.0,72.0,15.40767,-20.077587
18.0,59.0,13.15733,-97.891136
-7.0,-193.0,34.26616,-54.435272
259.0,-376.0,25.848148,-68.29266
309.0,57.0,6.7902293,-67.717354
141.0,163.0,21.127066,51.954224
117.0,12.0,25.48793,-70.820435
82.0,-1.0,20.768795,-56.276974
-29.0,65.0,16.650997,-118.42553
-157.0,-62.0,16.368835,-54.23796
-186.0,-31.0,15.538652,-93.66495
-359.0,486.0,35.273495,-80.65583
-330.0,271.0,11.907963,-8.777199
141.0,330.0,2.966151,66.07828
339.0,90.0,33.32584,-37.86627
245.0,-187.0,26.839123,-123.11067
95.0,-145.0,39.876717,-75.780266
10.0,-90.0,36.923862,-74.75803
-16.0,34.0,23.032448,14.618119
86.0,20.0,21.297205,-18.997469
-9.0,-110.0,39.043285,-124.98146
49.0,-104.0,36.81379,-53.072876
261.0,134.0,43.384346,-84.183334
244.0,-121.0,49.940224,-67.33878
176.0,-168.0,47.6328,-79.69178
-27.0,-203.0,50.201862,-71.789215
-112.0,-50.0,37.63339,-141.47739
-52.0,77.0,52.28531,-91.4709
97.0,-210.0,59.173546,-57.46327
173.0,-43.0,54.159977,-82.29722
184.0,-124.0,57.27719,-55.241993
153.0,-211.0,52.123158,-74.10291
209.0,-371.0,60.201405,-90.183304
152.0,-93.0,58.083866,-105.17254
98.0,72.0,61.297062,-64.577736
-46.0,-397.0,19.17077,-269.93506
-15.0,-375.0,27.393574,-252.68155
-7.0,-197.0,28.933544,-159.30103
-62.0,-137.0,68.195816,-187.35698
50.0,42.0,72.57298,-201.49751
56.0,58.0,107.61083,-217.74913
229.0,-17.0,126.38217,-168.75513
412.0,-8.0,129.40886,-136.26537
342.0,-135.0,135.80992,-199.00943
274.0,-158.0,139.51692,-177.83969
264.0,-134.0,143.14326,-179.61676
230.0,-103.0,147.6777,-256.34073
128.0,14.0,153.70537,-239.29185
75.0,-18.0,158.58646,-341.1398
1.0,-339.0,164.54295,-321.03912
217.0,-104.0,168.98363,-418.79285
87.0,-129.0,177.25131,-345.81375
-357.0,-134.0,172.84012,-275.41672
-226.0,-189.0,171.98785,-347.98087
-46.0,-303.0,180.7362,-288.13797
100.0,-281.0,186.42657,-218.31369
-33.0,-321.0,186.19824,-270.39774
-34.0,-331.0,198.33734,-218.11981
162.0,-431.0,192.71971,-277.77756
194.0,-282.0,198.00304,-239.22723
165.0,-286.0,196.63724,-261.79807
179.0,-467.0,197.66315,-299.41718
133.0,-452.0,200.83685,-259.86078
218.0,77.0,195.72899,-328.32153
144.0,75.0,195.2483,-297.39276
84.0,-89.0,204.31007,-263.22794
304.0,-333.0,201.64003,-288.21594
215.0,-15.0,197.48196,-327.99554
215.0,-15.0,198.73256,-269.40015
104.0,-61.0,199.1126,-326.05484
60.0,-307.0,199.22104,-295.25833
135.0,-524.0,205.3178,-270.34198
152.0,-520.0,198.13019,-345.72104
270.0,-59.0,201.35196,-327.915
250.0,-184.0,201.92563,-351.78204
170.0,-250.0,201.67873,-384.1387
144.0,-391.0,204.09668,-293.82672
-229.0,200.0,199.70717,-304.3463
-257.0,83.0,202.44995,-345.07394
10.0,-461.0,199.2139,-343.49332
139.0,-561.0,200.30968,-312.79022
229.0,-367.0,201.54924,-326.9633
