fx,fy,pred_fx,pred_fy
176,437,-108.47066,31.38959
-111,687,-108.8951,32.168224
-159,456,-108.748146,31.645935
168,-172,-108.46586,31.939106
168,-172,-109.04258,31.570421
168,-172,-112.941986,26.853615
-18,70,-108.4104,32.038548
-18,70,-109.00992,31.733198
-305,-21,-109.23954,30.87819
-187,-94,-109.03706,31.039534
-74,-139,-107.6547,31.059307
117,-170,-107.75101,31.649231
138,-189,-108.31643,30.88951
71,-179,-107.72146,31.177952
71,-179,-108.41416,31.246157
-90,47,-108.1496,31.109173
-90,47,-108.32377,31.837656
158,-191,-108.322014,31.810144
178,-198,-108.620995,30.795654
-62,-77,-108.84393,31.163908
-93,-144,-110.0244,31.110176
128,-184,-108.75652,32.20319
128,-184,-108.85322,32.234425
102,-4,-109.75503,32.037544
156,327,-109.635735,31.91532
-217,-141,-109.54956,32.27082
-200,-439,-108.2511,32.636353
-124,-454,-109.20239,32.24632
-56,-78,-109.63398,32.10131
-56,-78,-109.307724,32.41067
-187,-54,-108.82796,31.96719
-98,-115,-108.44099,31.809141
519,-858,-109.149666,31.591772
519,-858,-109.45131,31.498777
-80,-65,-108.33396,31.853704
-325,147,-108.70613,31.61871
-255,270,-108.44839,31.36652
-67,312,-109.616,30.905844
-192,60,-109.31695,31.485737
-192,60,-108.4254,31.915606
-60,8,-109.588135,31.338005
-7,44,-110.27234,31.631893
-101,27,-109.34156,31.589766
-178,-180,-108.98712,31.903282
-165,-197,-110.81653,31.279257
-157,-17,-109.37695,32.32484
-263,-15,-109.24162,32.149742
-249,70,-110.09414,31.70626
-276,67,-110.02459,32.249043
-95,84,-109.51215,31.706547
-142,-202,-110.14986,32.220528
-191,-326,-111.09447,32.09787
-191,-326,-111.28773,32.06391
-191,-326,-110.00881,32.410385
-123,43,-112.31702,32.428867
-167,243,-110.565865,30.983221
-167,243,-111.17863,32.13212
-137,304,-109.576965,31.768017
-106,-368,-112.0368,30.622417
-118,-362,-111.43182,27.515614
-118,-362,-110.97667,31.16133
-56,-162,-111.72756,30.514235
592,-500,-109.44086,31.222944
592,-500,-116.497025,27.637552
357,-231,-110.41052,30.458637
474,129,-109.31695,32.577316
100,-109,-110.70256,32.11922
-252,-333,-109.56853,31.69408
-286,-230,-111.49923,28.20111
-286,-230,-110.78049,32.497074
27,-136,-112.449684,28.691877
-60,-132,-109.766975,32.88453
297,-71,-111.37825,32.058178
101,-35,-110.98712,32.75915
-375,-287,-111.63632,32.73823
-375,-287,-110.745026,33.131416
-375,-287,-112.09791,26.767069
-44,-47,-110.74204,32.6193
-102,128,-110.42533,32.48418
-102,128,-110.295,32.00115
-58,-636,-112.33799,27.683691
-332,-144,-112.37585,27.002779
-478,202,-116.46085,27.581669
-382,25,-110.20701,32.25162
-337,-176,-111.45501,32.619015
-304,-79,-110.671196,26.369726
-262,275,-111.89712,27.0141
204,34,-111.69678,32.530605
204,34,-112.690025,27.20052
276,62,-117.13869,28.498436
48,230,-111.06407,31.81129
54,-88,-112.52365,27.119991
250,-243,-114.03803,27.818098
250,-243,-114.99822,28.22547
165,113,-114.41598,27.936598
165,113,-115.10368,27.924706
-134,-287,-112.52781,27.781128
21,-107,-116.15642,27.78858
54,-107,-114.65515,29.137794
-90,-60,-113.47105,27.83128
-90,-60,-113.05817,27.441818
-208,-40,-113.9631,27.534098
-178,-223,-115.21395,27.812653
-589,-386,-115.32039,27.773964
-414,-213,-112.95543,27.004786
-414,-213,-114.916725,27.33335
-184,128,-117.706,27.67051
1,98,-111.55047,32.00072
123,61,-113.60463,28.778997
123,12,-113.30961,27.124577
63,12,-113.76938,28.043062
-69,-110,-115.44865,27.737568
-100,-32,-114.960884,27.778263
-190,-211,-113.12674,27.047916
-211,-242,-115.237724,28.684425
-244,-37,-114.22324,29.671692
-244,-37,-116.00192,28.993645
-116,-18,-104.185,31.821608
172,-18,-104.405075,33.651417
172,-18,-108.310585,36.05252
124,-47,-102.29286,36.4639
-87,-51,-105.17661,48.07093
96,-547,-106.33559,52.35085
96,-547,-105.36351,54.607227
101,-398,-105.50235,58.423744
-64,-388,-121.383316,66.27673
-64,-388,-120.10174,65.30666
-61,-181,-127.06953,71.09484
177,-176,-149.28511,87.03752
24,-101,-161.55864,95.50436
-186,-69,-161.48506,93.02831
-221,-378,-158.54662,89.47917
-123,-207,-150.54669,81.25593
41,-172,-132.30038,62.808407
39,-41,-118.70957,48.78523
-14,-321,-104.00635,33.910625
-14,-321,-80.65672,17.146606
258,-450,-72.112595,9.951608
258,-450,-57.32294,2.1930509
147,-472,-46.32762,-6.7123957
-150,-478,-30.322947,-16.632906
-97,-360,-19.364706,-22.907125
-290,-268,-6.173725,-31.399181
-428,-509,-3.2592514,-34.255947
-63,-848,6.785099,-40.12738
239,-1074,14.502091,-46.994244
-206,-513,17.524105,-53.83847
-206,-513,20.00433,-56.764156
