fx,fy,pred_fx,pred_fy
-17.0,-68.0,2.7866588,-70.751366
-17.0,-68.0,1.0651841,-69.87215
6.0,-147.0,-1.2466536,-64.16478
-189.0,-29.0,-1.4085472,-70.735176
42.0,-135.0,1.3644892,-78.54819
65.0,-171.0,0.63392246,-74.374016
76.0,-85.0,2.1672683,-81.279
156.0,-88.0,2.4792364,-83.78112
40.0,-76.0,0.6551576,-100.57323
70.0,-7.0,0.92666864,-88.08167
145.0,-115.0,-24.661022,-24.97852
32.0,-155.0,-23.518026,-25.838114
41.0,-56.0,-24.147093,-28.714365
-16.0,67.0,-5.317566,-88.47142
-71.0,-221.0,-19.336393,-33.204056
-98.0,-200.0,-9.105278,-80.25319
123.0,-168.0,-10.4169855,-88.88238
183.0,-124.0,-11.891756,-82.91121
81.0,-29.0,-15.399905,-76.76509
36.0,-108.0,-15.1900215,-76.538124
103.0,-114.0,-16.012608,-73.902016
123.0,-84.0,-14.573423,-74.843575
-17.0,-32.0,-13.758176,-73.0569
-98.0,-149.0,-11.315616,-74.28561
-6.0,-26.0,11.262531,-124.18033
30.0,70.0,13.304611,-124.931595
-138.0,50.0,-15.199762,-51.658035
-65.0,52.0,-2.7925327,-79.31665
46.0,-2.0,-4.2554846,-75.99835
-7.0,26.0,-4.561933,-73.1615
47.0,-52.0,-3.5440748,-76.264725
27.0,0.0,-14.290548,-54.577847
-17.0,-22.0,-15.076183,-46.98665
-17.0,43.0,1.8234799,-85.91327
32.0,54.0,-16.567318,-50.069527
28.0,-48.0,-16.045662,-49.350643
-50.0,126.0,-15.916886,-52.168716
-14.0,142.0,-19.054493,-46.431976
-72.0,113.0,-17.91669,-46.750652
105.0,-97.0,-15.767201,-48.52028
152.0,-155.0,-14.297562,-47.98065
77.0,112.0,-14.847077,-42.132145
-54.0,82.0,-11.859092,-41.39148
199.0,8.0,-8.680185,-41.069508
157.0,-23.0,-5.594727,-41.590508
66.0,0.0,-3.2736678,-43.522053
81.0,-174.0,-2.616093,-40.6832
129.0,-160.0,-1.6942149,-36.113266
64.0,-109.0,-2.7866232,-33.54136
-44.0,-137.0,2.1656446,-35.206528
-166.0,53.0,1.7287334,-32.462677
-108.0,-45.0,2.6756775,-32.312798
-61.0,-122.0,5.7576947,-31.983946
-169.0,83.0,6.1349273,-30.529556
-162.0,-1.0,6.8934827,-30.47124
-19.0,-101.0,7.547356,-30.42209
104.0,-117.0,5.2491555,-29.124317
182.0,-171.0,5.2041526,-29.41591
57.0,-180.0,0.635481,-27.87741
10.0,-185.0,-0.76772654,-27.565327
-65.0,-57.0,-4.280811,-26.95434
-4.0,48.0,-2.4784217,-28.463608
-22.0,8.0,-7.1476192,-27.376328
-100.0,58.0,-10.725448,-26.269701
-57.0,-105.0,-12.5182905,-26.489794
-127.0,-136.0,-14.642973,-26.306814
-44.0,-180.0,-17.49056,-25.523592
-13.0,-21.0,-19.552057,-25.528894
9.0,-66.0,-17.745707,-26.604282
95.0,41.0,-19.37211,-26.22127
87.0,0.0,-21.498026,-26.100906
-129.0,-96.0,-22.654465,-26.31971
-49.0,-17.0,-24.842268,-25.385891
-67.0,28.0,-24.932209,-25.483042
