fx,fy,pred_fx,pred_fy
-121.0,219.0,-23.838373,-25.855309
-42.0,117.0,-23.88409,-28.96684
-42.0,117.0,-24.199694,-27.736843
135.0,328.0,-25.675894,-25.436903
26.0,324.0,-25.538677,-25.959337
112.0,339.0,-26.070465,-26.11452
-49.0,-82.0,-11.960981,-48.034813
-20.0,208.0,-10.955202,-62.865856
19.0,345.0,0.38345173,-82.96093
-47.0,343.0,0.681458,-96.737366
96.0,439.0,3.1497343,-62.653214
240.0,256.0,6.962773,-120.02737
160.0,-69.0,-12.5191345,-23.93179
-62.0,-49.0,-14.232363,-23.630594
-121.0,246.0,0.8928353,-33.031822
135.0,57.0,-4.796104,-26.083426
158.0,-35.0,-5.13158,-26.884987
-8.0,9.0,-1.2613299,-25.801289
-236.0,-86.0,-1.7425947,-26.099043
-208.0,-149.0,-3.8672776,-29.486408
-127.0,-101.0,-9.578231,-25.53305
-5.0,-209.0,0.1318121,-51.39739
99.0,-226.0,-3.7038903,-36.25899
189.0,-59.0,-7.555243,-39.11389
43.0,-34.0,-21.129625,-23.40563
84.0,-5.0,-9.158853,-44.09177
-238.0,64.0,-17.278337,-24.622158
-424.0,5.0,-10.718434,-51.23404
-301.0,-11.0,-20.074818,-26.584509
-157.0,155.0,-23.246386,-23.413654
-104.0,26.0,-12.439195,-24.746534
14.0,88.0,-13.1803465,-30.375807
-27.0,272.0,-16.248596,-57.405376
131.0,-81.0,-36.886944,-22.251003
-54.0,-25.0,-10.613882,-58.21296
-176.0,-397.0,-6.1082015,-67.02498
-100.0,-185.0,-17.570826,-32.40837
-166.0,303.0,-7.680576,-64.98282
-154.0,162.0,-20.08404,-25.387325
-63.0,49.0,-11.482899,-33.32585
12.0,-62.0,-10.884938,-30.95484
-76.0,587.0,-15.858247,-23.497765
-190.0,560.0,-1.935789,-65.23315
-286.0,-180.0,-6.3090587,-118.322075
-223.0,-267.0,-15.712069,-32.575302
-61.0,-151.0,-13.662456,-30.808828
-199.0,-233.0,-16.565954,-96.567566
-9.0,-154.0,-20.544264,-242.32759
2.0,-124.0,-34.61394,-333.07416
78.0,-265.0,-41.11436,-250.7053
109.0,-233.0,-40.984222,-295.83594
-18.0,-221.0,-16.027933,-562.03046
-225.0,-145.0,-7.463224,-472.1856
-508.0,-204.0,-17.380098,-327.27365
-426.0,-282.0,-15.218141,-419.01453
-498.0,-281.0,-12.325356,-196.23119
-144.0,-254.0,-13.279509,-453.39096
-48.0,-171.0,-13.760448,-468.32074
-26.0,-248.0,-0.67700636,-576.37604
-137.0,-472.0,-7.015403,-508.83414
-284.0,-407.0,-17.528679,-430.16718
-145.0,-354.0,-5.6791477,-555.04175
-176.0,-280.0,-12.34724,-532.49744
-76.0,-319.0,-5.506799,-532.3413
26.0,-314.0,-15.977345,-510.25745
-45.0,-275.0,-2.679149,-598.6174
-272.0,-118.0,10.092391,-630.1672
-136.0,-234.0,-0.099891186,-612.6597
35.0,-381.0,9.856921,-644.82294
-117.0,-547.0,17.20337,-668.38055
-143.0,-620.0,24.074852,-707.75256
-111.0,-551.0,43.458897,-737.3586
-192.0,-425.0,29.875032,-737.6706
