fx,fy,pred_fx,pred_fy
176,437,-127.61501,-16.326408
-111,687,-124.25954,-16.30205
-159,456,-127.53864,-16.272388
168,-172,-128.04478,-16.309645
168,-172,-127.6821,-16.27382
168,-172,-151.36784,-16.635628
-18,70,-124.077774,-16.297321
-18,70,-124.45871,-16.316092
-305,-21,-126.78574,-16.337156
-187,-94,-127.165764,-16.330564
-74,-139,-127.22434,-16.28428
117,-170,-123.08427,-16.297894
138,-189,-126.61716,-16.28242
71,-179,-124.46254,-16.31552
71,-179,-123.98926,-16.318527
-90,47,-127.71872,-16.325405
-90,47,-123.63404,-16.298468
158,-191,-124.465004,-16.300903
178,-198,-130.37396,-16.296461
-62,-77,-127.58826,-16.328558
-93,-144,-127.625145,-16.33644
128,-184,-124.443054,-16.294886
128,-184,-124.325905,-16.295029
102,-4,-125.08524,-16.304485
156,327,-125.50208,-16.307352
-217,-141,-125.088295,-16.293882
-200,-439,-125.64424,-16.280987
-124,-454,-126.11966,-16.299614
-56,-78,-125.56345,-16.303339
-56,-78,-124.90744,-16.288294
-187,-54,-125.28298,-16.297321
-98,-115,-125.756775,-16.299328
519,-858,-125.48793,-16.309357
519,-858,-124.493576,-16.307781
-80,-65,-125.34643,-16.299614
-325,147,-126.29123,-16.30907
-255,270,-125.00965,-16.307064
-67,312,-127.9036,-16.287434
-192,60,-126.10803,-16.313227
-192,60,-126.25246,-16.297321
-60,8,-125.64573,-16.313227
-7,44,-125.07433,-16.310934
-101,27,-126.128685,-16.306492
-178,-180,-125.621056,-16.293308
-165,-197,-129.40889,-16.329418
-157,-17,-126.24064,-16.290873
-263,-15,-126.537025,-16.294886
-249,70,-128.81139,-16.27067
-276,67,-125.24291,-16.286718
-95,84,-129.60112,-16.304914
-142,-202,-125.734566,-16.284855
-191,-326,-126.00926,-16.297464
-191,-326,-126.41474,-16.302193
-191,-326,-125.28629,-16.27812
-123,43,-128.00095,-16.300617
-167,243,-126.6306,-16.279266
-167,243,-124.111084,-16.295029
-137,304,-125.78697,-16.2956
-106,-368,-128.5365,-16.34131
-118,-362,-145.5241,-16.396765
-118,-362,-125.52183,-16.318815
-56,-162,-125.64943,-16.312796
592,-500,-129.26817,-16.316235
592,-500,-152.1501,-16.681194
357,-231,-130.4396,-16.29904
474,129,-124.599884,-16.272963
100,-109,-125.63755,-16.290157
-252,-333,-128.63567,-16.303053
-286,-230,-145.14192,-16.379713
-286,-230,-124.36305,-16.280127
27,-136,-145.44623,-16.378853
-60,-132,-125.81873,-16.268663
297,-71,-128.47696,-16.303913
101,-35,-125.14498,-16.278406
-375,-287,-123.70989,-16.267374
-375,-287,-124.27,-16.259779
-375,-287,-148.37498,-16.504948
-44,-47,-124.44156,-16.27196
-102,128,-124.300186,-16.275541
-102,128,-127.08537,-16.28944
-58,-636,-145.44942,-16.39003
-332,-144,-148.12296,-16.452934
-478,202,-151.50896,-16.642363
-382,25,-123.54618,-16.272102
-337,-176,-126.073746,-16.275827
-304,-79,-149.33102,-16.531599
-262,275,-148.59137,-16.473137
204,34,-124.46994,-16.279552
204,34,-148.9038,-16.503084
276,62,-150.60884,-16.546072
48,230,-129.28375,-16.297894
54,-88,-148.92372,-16.489042
250,-243,-148.4546,-16.468983
250,-243,-148.23985,-16.447489
165,113,-148.65761,-16.475573
165,113,-148.98834,-16.52286
-134,-287,-148.68001,-16.399773
21,-107,-152.12257,-16.628176
54,-107,-144.83788,-16.38272
-90,-60,-148.87184,-16.423416
-90,-60,-148.88333,-16.481304
-208,-40,-148.23674,-16.468695
-178,-223,-151.13686,-16.548937
-589,-386,-150.85054,-16.52601
-414,-213,-148.30862,-16.46583
-414,-213,-148.01062,-16.47629
-184,128,-152.68611,-16.745531
1,98,-123.88724,-16.285427
123,61,-144.01633,-16.38487
123,12,-148.32921,-16.487896
63,12,-146.31038,-16.38745
-69,-110,-151.71826,-16.586622
-100,-32,-151.10393,-16.539194
-190,-211,-151.9797,-16.582468
-211,-242,-147.36804,-16.358648
-244,-37,-143.59073,-16.37699
-244,-37,-145.88594,-16.381002
-116,-18,-134.69612,-16.305918
172,-18,-131.64261,-16.30506
172,-18,-130.99706,-16.293022
124,-47,-127.97997,-16.26594
-87,-51,-106.61931,-16.085825
96,-547,-119.61924,-16.079235
96,-547,-111.88569,-16.035818
101,-398,-106.694374,-16.063616
-64,-388,-115.898285,-15.900982
-64,-388,-110.69236,-15.947838
-61,-181,-112.78068,-15.970334
177,-176,-118.36,-15.988675
24,-101,-120.6006,-16.037107
-186,-69,-118.05576,-16.133398
-221,-378,-115.69639,-16.166784
-123,-207,-112.83549,-16.270956
41,-172,-108.82062,-16.420263
39,-41,-106.44611,-16.565702
-14,-321,-103.886536,-16.755274
-14,-321,-98.16714,-17.020647
258,-450,-96.30929,-17.310808
258,-450,-90.765816,-17.604122
147,-472,-85.17714,-17.99043
-150,-478,-82.01265,-18.38419
-97,-360,-76.40125,-18.84028
-290,-268,-72.148705,-19.191628
-428,-509,-69.42671,-19.415445
-63,-848,-65.65809,-20.062685
239,-1074,-62.394695,-20.78515
-206,-513,-59.54958,-21.73516
-206,-513,-56.074547,-22.406328
-206,-513,-53.37749,-22.845081
-4,-204,-51.369114,-26.128418
-140,-179,-49.66017,-28.923712
-120,-273,-47.42256,-35.291786
-244,-351,-47.965843,-40.588913
-244,-351,-46.919216,-42.208946
-157,-649,-64.39924,-36.45057
14,-599,-47.121178,-54.400024
14,-599,-45.59621,-56.192863
78,-609,-45.686863,-58.22843
27,-366,-63.00266,-54.312473
-40,-522,-44.615627,-71.72574
-102,-531,-62.648155,-66.93184
-296,-380,-65.68575,-76.41919
58,-576,-43.584522,-94.59476
56,-331,-66.542175,-92.973145
96,-276,-67.23501,-96.94657
-118,-389,-45.583027,-110.11932
-118,-389,-43.774403,-107.288925
-158,-726,-44.96721,-117.11529
-141,-865,-70.43015,-115.00105
-38,-345,-48.19339,-119.72316
-211,-220,-47.190144,-122.41113
-211,-220,-50.087017,-125.16559
-211,-220,-48.729267,-127.786064
-27,-477,-51.9648,-137.18558
-204,37,-49.516396,-139.881
-348,-383,-49.410027,-140.08963
-348,-383,-49.332424,-136.82349
-28,-696,-76.18961,-147.58324
27,-454,-77.19955,-152.48804
-93,-373,-77.46178,-156.82083
-114,-308,-79.25319,-161.36397
-466,-432,-79.62048,-163.81638
-534,-439,-83.046486,-175.60078
-526,-649,-83.43755,-180.27031
-270,-285,-87.61814,-193.73882
-270,-285,-61.148838,-178.70157
-150,-546,-58.737446,-173.67212
-150,-546,-89.295006,-205.35301
-265,-679,-89.77055,-205.32263
-259,-694,-61.36236,-186.52174
-590,-432,-62.2717,-191.16261
-590,-432,-65.60938,-199.11618
-595,-385,-91.26786,-225.40065
-35,-571,-69.21975,-215.14757
-60,-427,-94.67432,-239.70926
-60,-427,-95.999466,-240.90744
-415,-264,-65.35359,-221.1729
-273,-460,-97.21487,-255.3506
-103,-644,-71.73543,-226.76978
-60,-770,-98.3089,-262.52582
-60,-770,-97.759315,-268.0591
-135,-914,-99.22227,-271.64264
-374,-977,-100.588135,-274.07498
-312,-1013,-100.941734,-275.278
-467,-694,-79.250854,-252.88344
-686,-241,-102.201294,-284.15524
-921,-297,-102.746,-283.56848
-620,-581,-82.78017,-260.55417
-620,-581,-81.80212,-267.57135
-406,-425,-105.519104,-293.8919
-406,-425,-106.03076,-293.2011
-241,-441,-107.35942,-301.53284
-161,-975,-85.73283,-286.55536
12,-599,-110.321815,-314.3055
12,-599,-106.78289,-298.39865
-25,-632,-86.61126,-285.33466
-84,-583,-88.316895,-286.42065
-6,-612,-108.88088,-314.81433
133,-547,-108.967514,-309.6026
-56,-590,-109.864975,-313.7358
-56,-590,-91.01739,-292.2057
2,-630,-92.66386,-305.78537
2,-630,-111.55716,-320.13367
-269,-503,-93.26513,-301.81168
-282,-476,-111.314804,-323.12772
-37,-572,-92.37299,-307.6907
-10,-797,-110.905685,-312.91977
-172,-1058,-95.99031,-318.9391
-331,-854,-113.979195,-335.98438
-240,-903,-97.01661,-321.49164
-263,-647,-112.944,-325.06714
