fx,fy,pred_fx,pred_fy
-17.0,-68.0,6.451831,-36.163845
-17.0,-68.0,6.8808193,-37.413044
6.0,-147.0,4.5770345,-33.60355
-189.0,-29.0,4.0496626,-37.038914
42.0,-135.0,5.5624228,-43.790432
65.0,-171.0,4.2859116,-42.037716
76.0,-85.0,5.821855,-50.193615
156.0,-88.0,6.837245,-53.76167
40.0,-76.0,7.4922876,-63.709404
70.0,-7.0,9.041154,-61.320908
145.0,-115.0,-9.217168,-32.522
32.0,-155.0,-8.017026,-33.526745
41.0,-56.0,-5.918904,-39.349316
-16.0,67.0,9.795619,-74.69585
-71.0,-221.0,-0.40601486,-43.7506
-98.0,-200.0,6.994463,-78.07705
123.0,-168.0,8.706782,-88.74238
183.0,-124.0,9.207983,-87.66198
81.0,-29.0,11.826983,-87.02592
36.0,-108.0,15.260972,-91.33563
103.0,-114.0,17.03271,-92.806076
123.0,-84.0,19.14447,-100.1713
-17.0,-32.0,22.948677,-101.38554
-98.0,-149.0,31.095695,-106.39265
-6.0,-26.0,59.072502,-153.73366
30.0,70.0,62.06386,-157.75981
-138.0,50.0,15.044399,-93.22921
-65.0,52.0,47.166992,-122.59841
46.0,-2.0,46.48487,-119.98553
-7.0,26.0,47.231476,-117.76138
47.0,-52.0,43.244465,-118.87374
27.0,0.0,11.487092,-92.737434
-17.0,-22.0,18.573523,-85.451164
-17.0,43.0,50.700466,-129.27269
32.0,54.0,22.413511,-84.49714
28.0,-48.0,30.810547,-87.48717
-50.0,126.0,31.593716,-90.49739
-14.0,142.0,26.710154,-81.14617
-72.0,113.0,29.031277,-82.8678
105.0,-97.0,28.200508,-83.81909
152.0,-155.0,26.38682,-81.67362
77.0,112.0,20.83393,-71.25618
-54.0,82.0,17.87114,-67.542114
199.0,8.0,15.132392,-64.588196
157.0,-23.0,16.083038,-65.295616
66.0,0.0,13.935886,-65.23501
81.0,-174.0,12.227464,-60.907375
129.0,-160.0,11.141225,-53.212296
64.0,-109.0,9.528588,-47.12822
-44.0,-137.0,10.090443,-49.19202
-166.0,53.0,5.8265953,-41.226982
-108.0,-45.0,4.4760537,-41.173107
-61.0,-122.0,4.93972,-41.264526
-169.0,83.0,4.9404345,-40.5412
-162.0,-1.0,4.858741,-40.525723
-19.0,-101.0,6.371436,-40.626312
104.0,-117.0,6.4337125,-39.710407
182.0,-171.0,7.1936316,-39.437298
57.0,-180.0,8.713146,-38.244125
10.0,-185.0,8.76802,-37.58012
-65.0,-57.0,11.349095,-36.927868
-4.0,48.0,11.840816,-37.62497
-22.0,8.0,11.763668,-36.204826
-100.0,58.0,12.299677,-35.041744
-57.0,-105.0,11.305911,-34.65644
-127.0,-136.0,12.956537,-34.43033
-44.0,-180.0,15.565797,-33.84012
-13.0,-21.0,13.693598,-33.0857
9.0,-66.0,13.452933,-33.5971
95.0,41.0,14.291493,-33.413834
87.0,0.0,13.286754,-32.776196
-129.0,-96.0,11.414165,-32.12394
-49.0,-17.0,14.241555,-32.03596
-67.0,28.0,15.116482,-32.223812
81.0,-21.0,14.7576275,-31.984806
124.0,-88.0,16.579044,-32.515694
50.0,229.0,16.486311,-32.286
-53.0,176.0,11.230971,-30.519096
-47.0,24.0,13.9425745,-31.540178
17.0,16.0,13.149406,-31.271368
-43.0,11.0,13.041738,-31.159029
87.0,-79.0,12.856985,-31.16089
63.0,175.0,12.660025,-31.158312
3.0,197.0,13.53612,-31.563965
69.0,47.0,14.04953,-31.537025
124.0,53.0,12.890948,-31.391731
95.0,117.0,15.736003,-32.318672
-10.0,44.0,13.676973,-32.14959
-76.0,18.0,13.697169,-32.51555
-16.0,-35.0,13.977187,-32.936966
-152.0,251.0,12.0850525,-32.76373
-117.0,109.0,12.952056,-33.40552
46.0,1.0,12.461051,-33.565434
60.0,-100.0,11.354811,-33.61759
117.0,-162.0,11.352213,-34.61159
154.0,-40.0,9.202918,-34.380177
-31.0,92.0,6.2605844,-34.690113
-67.0,-121.0,7.7701626,-35.53151
-54.0,-152.0,6.1258354,-35.56891
0.0,-167.0,3.3957891,-35.84875
-126.0,-63.0,5.2995486,-35.595848
-185.0,232.0,6.3811116,-36.111977
-54.0,18.0,3.796984,-34.81979
-36.0,-63.0,3.7485392,-33.904026
127.0,-142.0,4.4773526,-33.73867
-129.0,-100.0,2.743929,-32.403355
-123.0,-131.0,-1.1573621,-31.824894
64.0,-32.0,1.8893282,-31.03537
82.0,142.0,-1.1573621,-31.37468
93.0,140.0,-1.3686744,-30.975618
-107.0,-47.0,-1.0779414,-31.069185
35.0,-93.0,4.3539677,-33.285446
176.0,-95.0,2.0955105,-32.90544
150.0,-85.0,3.3494225,-32.737793
86.0,-147.0,0.15642408,-32.07207
-59.0,4.0,-1.8948773,-31.771162
25.0,-76.0,-3.0839152,-32.93252
129.0,-146.0,-3.0364447,-33.45467
-8.0,43.0,-2.852082,-34.189747
-29.0,-68.0,2.6970427,-37.77141
102.0,-177.0,6.988943,-39.357628
121.0,-183.0,-10.591673,-38.301727
22.0,1.0,-13.723693,-40.17839
52.0,-122.0,-13.782008,-39.826614
92.0,-263.0,-7.247821,-49.67333
-33.0,-58.0,-11.758371,-50.689827
-120.0,-60.0,-24.489258,-43.102215
-72.0,-81.0,-22.481596,-42.975403
-85.0,14.0,-27.400356,-45.094513
-24.0,53.0,-27.205149,-46.58071
30.0,68.0,-29.083387,-48.38888
-89.0,53.0,-29.819862,-48.560974
26.0,22.0,-32.59978,-51.438084
76.0,-134.0,-33.404835,-52.496563
-83.0,58.0,-33.911945,-53.040493
-30.0,25.0,-33.215538,-54.689037
45.0,-38.0,-31.921686,-56.566563
28.0,-51.0,-29.806875,-55.175934
20.0,64.0,-31.293594,-56.542057
129.0,20.0,-28.424318,-56.73335
121.0,33.0,-27.488153,-58.35983
102.0,47.0,-27.187096,-57.160065
57.0,-16.0,-25.951366,-56.567707
-32.0,28.0,-23.972471,-58.80718
-56.0,73.0,-21.56751,-57.31912
81.0,-39.0,-19.483545,-54.055553
62.0,-59.0,-20.055984,-56.452217
8.0,3.0,-19.499651,-54.982925
44.0,-185.0,-29.38529,-32.686783
-31.0,-247.0,-26.885193,-30.841354
-49.0,-148.0,-25.668491,-28.737005
-8.0,-88.0,-22.961498,-28.111975
-56.0,6.0,-20.48822,-27.324743
-30.0,44.0,-10.227364,-32.155464
0.0,64.0,-8.931371,-32.565273
-24.0,7.0,-10.841299,-32.044415
18.0,-191.0,-9.369386,-31.64134
26.0,-60.0,-8.212753,-31.489883
56.0,49.0,-6.742463,-31.570412
-4.0,22.0,-7.9496193,-30.671556
-85.0,-127.0,-4.659277,-30.800661
-105.0,-137.0,-4.946503,-31.726168
-110.0,-38.0,-4.5187483,-32.138985
-192.0,56.0,-3.831496,-31.767723
-162.0,-118.0,-0.72954226,-33.75873
39.0,-14.0,-3.049822,-31.28455
-226.0,74.0,-1.8114953,-31.480284
-281.0,-161.0,-0.2403548,-32.753983
-156.0,30.0,-0.20314461,-31.466385
-35.0,42.0,-0.5971311,-31.3059
16.0,59.0,1.1273959,-32.57301
-49.0,95.0,1.0228437,-32.389885
-143.0,6.0,3.0723915,-34.13673
-78.0,137.0,0.93212354,-33.87508
-60.0,172.0,0.95796937,-35.821526
-32.0,58.0,1.9684892,-36.8684
25.0,-7.0,3.6640532,-46.97877
-11.0,18.0,2.6627548,-44.704334
8.0,69.0,5.753604,-49.8192
-27.0,28.0,10.12064,-83.21155
23.0,1.0,11.6752205,-98.47017
46.0,-3.0,8.686846,-123.44682
44.0,202.0,6.594632,-117.486694
59.0,11.0,5.410984,-131.42734
216.0,-208.0,5.473456,-158.45375
44.0,-182.0,6.5646954,-193.04787
-46.0,-38.0,2.6278174,-174.247
-36.0,131.0,0.796985,-165.92159
-63.0,47.0,-0.59427375,-169.77635
-236.0,1.0,-3.2471726,-186.34766
-99.0,-66.0,-9.261847,-113.56959
-161.0,86.0,-11.199569,-94.30631
-3.0,67.0,-12.1715145,-86.97304
20.0,-25.0,-14.706678,-122.175705
101.0,-97.0,-13.564852,-136.62947
135.0,-172.0,-10.665249,-161.21524
2.0,-84.0,-9.285484,-187.02184
-78.0,-73.0,-9.1450205,-186.3554
