fx,fy,pred_fx,pred_fy
-121.0,219.0,2.2833796,-37.514206
-42.0,117.0,2.3365648,-38.334682
-42.0,117.0,2.0838213,-37.703064
135.0,328.0,1.2070764,-36.24853
26.0,324.0,1.2881206,-36.191933
112.0,339.0,0.9129015,-35.68053
-49.0,-82.0,12.926795,-131.01352
-20.0,208.0,14.217463,-149.32607
19.0,345.0,19.15817,-227.5725
-47.0,343.0,19.87088,-244.14464
96.0,439.0,18.723793,-219.65073
240.0,256.0,22.783926,-292.9876
160.0,-69.0,9.675936,-57.956757
-62.0,-49.0,8.106808,-41.415123
-121.0,246.0,18.483192,-148.56836
135.0,57.0,13.506183,-57.516285
158.0,-35.0,13.480272,-60.45501
-8.0,9.0,15.478064,-44.351986
-236.0,-86.0,15.014982,-44.20583
-208.0,-149.0,14.192656,-48.471848
-127.0,-101.0,9.994073,-39.172356
-5.0,-209.0,20.485855,-115.24837
99.0,-226.0,15.823476,-54.922745
189.0,-59.0,14.245517,-54.43599
43.0,-34.0,1.7460723,-29.43153
84.0,-5.0,14.234347,-61.776714
-238.0,64.0,3.0585594,-29.881458
-424.0,5.0,14.623333,-77.05654
-301.0,-11.0,1.8097128,-29.089354
-157.0,155.0,0.87023646,-29.393845
-104.0,26.0,4.5607996,-30.225067
14.0,88.0,9.119406,-41.121235
-27.0,272.0,9.88569,-47.15573
131.0,-81.0,-10.018454,-21.661797
-54.0,-25.0,14.158563,-65.601974
-176.0,-397.0,18.211617,-96.90903
-100.0,-185.0,5.9871254,-35.54197
-166.0,303.0,17.116026,-97.05318
-154.0,162.0,2.295653,-30.229221
-63.0,49.0,10.026867,-41.38417
12.0,-62.0,9.058168,-38.192684
-76.0,587.0,5.079924,-33.283295
-190.0,560.0,19.954262,-143.45735
-286.0,-180.0,23.250383,-162.30653
-223.0,-267.0,6.967903,-36.94062
-61.0,-151.0,8.177462,-37.763386
-199.0,-233.0,15.633074,-101.476234
-9.0,-154.0,26.154207,-233.96808
2.0,-124.0,21.493193,-271.54578
78.0,-265.0,13.734055,-144.66528
109.0,-233.0,16.394941,-186.78455
-18.0,-221.0,31.637419,-336.39847
-225.0,-145.0,41.945618,-269.544
-508.0,-204.0,33.76749,-211.61519
