fx,fy,pred_fx,pred_fy
176,437,-57.75232,-24.926506
-111,687,-55.593803,-24.405933
-159,456,-58.74472,-24.173662
168,-172,-58.187283,-24.70584
168,-172,-58.817387,-24.251038
168,-172,-89.3439,-29.347418
-18,70,-55.607376,-24.304914
-18,70,-55.6277,-24.634481
-305,-21,-57.5588,-25.20678
-187,-94,-57.89103,-25.10662
-74,-139,-58.361515,-24.262215
117,-170,-54.869926,-24.169363
138,-189,-58.3308,-24.328129
71,-179,-55.742188,-24.539623
71,-179,-55.536007,-24.661562
-90,47,-58.03896,-24.914326
-90,47,-55.428272,-24.288294
158,-191,-55.910446,-24.336153
178,-198,-60.778812,-24.78551
-62,-77,-57.880768,-24.95158
-93,-144,-58.24118,-25.207209
128,-184,-55.839336,-24.21894
128,-184,-55.78849,-24.24502
102,-4,-56.231247,-24.50552
156,327,-56.46204,-24.50022
-217,-141,-56.329174,-24.267946
-200,-439,-56.446262,-23.897543
-124,-454,-56.780632,-24.370255
-56,-78,-56.570618,-24.394615
-56,-78,-56.22423,-24.1205
-187,-54,-56.38515,-24.235563
-98,-115,-56.520485,-24.249605
519,-858,-56.55445,-24.502512
519,-858,-55.788166,-24.45107
-80,-65,-56.374763,-24.253187
-325,147,-57.10364,-24.565271
-255,270,-56.12124,-24.323112
-67,312,-59.227673,-24.502655
-192,60,-56.903107,-24.547934
-192,60,-56.97883,-24.2625
-60,8,-56.654716,-24.591925
-7,44,-56.34762,-24.610123
-101,27,-56.93272,-24.494917
-178,-180,-56.594128,-24.12265
-165,-197,-59.553345,-25.228846
-157,-17,-56.94376,-24.154747
-263,-15,-57.103252,-24.18097
-249,70,-59.5338,-24.103306
-276,67,-56.30768,-24.05688
-95,84,-59.32716,-24.55911
-142,-202,-56.73732,-24.102448
-191,-326,-57.066364,-24.41181
-191,-326,-57.351448,-24.559828
-191,-326,-56.540684,-23.91402
-123,43,-58.924862,-24.448061
-167,243,-58.127472,-24.197735
-167,243,-56.080326,-24.42098
-137,304,-56.913498,-24.271385
-106,-368,-59.437622,-25.599823
-118,-362,-79.02383,-28.40787
-118,-362,-56.912785,-24.879076
-56,-162,-57.615818,-24.918768
592,-500,-59.190334,-24.742092
592,-500,-90.7099,-29.371204
357,-231,-60.942913,-24.696669
474,129,-56.1528,-23.791939
100,-109,-56.843105,-24.250895
-252,-333,-58.670624,-24.458664
-286,-230,-77.74225,-27.903776
-286,-230,-55.99318,-23.988388
27,-136,-77.85875,-27.93702
-60,-132,-56.662052,-23.641914
297,-71,-58.8183,-24.610266
101,-35,-56.44866,-23.946548
-375,-287,-55.933174,-23.74322
-375,-287,-56.134357,-23.56941
-375,-287,-84.492615,-28.897776
-44,-47,-55.975582,-23.724735
-102,128,-56.044025,-23.838364
-102,128,-57.880054,-24.21364
-58,-636,-79.07078,-28.175022
-332,-144,-82.8805,-28.681551
-478,202,-89.78387,-29.182205
-382,25,-55.678547,-23.74322
-337,-176,-57.66569,-23.800392
-304,-79,-84.5271,-28.71379
-262,275,-83.36826,-28.583256
204,34,-56.290794,-24.044128
204,34,-83.945244,-28.756922
276,62,-87.397224,-28.671808
48,230,-59.340603,-24.452646
54,-88,-84.03434,-28.499287
250,-243,-83.0611,-28.65361
250,-243,-82.54788,-28.666792
165,113,-83.32157,-28.659485
165,113,-84.39612,-28.958101
-134,-287,-82.740944,-27.751602
21,-107,-88.89661,-28.652607
54,-107,-77.21403,-27.95493
-90,-60,-83.00739,-28.077013
-90,-60,-83.41093,-28.546574
-208,-40,-83.335724,-28.806643
-178,-223,-87.07817,-28.44498
-589,-386,-86.83407,-28.371902
-414,-213,-83.309875,-28.728407
-414,-213,-83.80803,-29.117294
-184,128,-92.51398,-29.615227
1,98,-55.85791,-24.084965
123,61,-76.11494,-27.840586
123,12,-83.71387,-28.900354
63,12,-79.787834,-28.285357
-69,-110,-87.89277,-28.385515
-100,-32,-86.667755,-28.231337
-190,-211,-87.81082,-27.935442
-211,-242,-81.715034,-27.751602
-244,-37,-75.390144,-27.5904
-244,-37,-79.25923,-28.107964
-116,-18,-61.229816,-24.353348
172,-18,-58.24118,-23.936518
172,-18,-57.504574,-23.684328
124,-47,-54.595295,-22.490295
-87,-51,-48.896164,-16.466545
96,-547,-51.95454,-16.857439
96,-547,-51.482174,-14.924177
101,-398,-53.95454,-13.7411785
-64,-388,-65.68796,-9.625329
-64,-388,-64.231636,-10.175131
-61,-181,-64.18572,-10.161232
177,-176,-69.808685,-7.9661794
24,-101,-71.46801,-7.166337
-186,-69,-66.21942,-8.667008
-221,-378,-60.628544,-9.846998
-123,-207,-52.893887,-12.554168
41,-172,-42.35905,-16.602957
