fx,fy,pred_fx,pred_fy
-17.0,-68.0,-39.322426,-56.886097
-17.0,-68.0,-35.749016,-63.084805
6.0,-147.0,-39.122543,-56.387737
-189.0,-29.0,-38.750443,-59.42404
42.0,-135.0,-36.6468,-66.49681
65.0,-171.0,-39.58134,-60.565773
76.0,-85.0,-35.81642,-71.2867
156.0,-88.0,-35.83753,-71.92348
40.0,-76.0,-32.009678,-80.58362
70.0,-7.0,-31.505491,-79.28713
145.0,-115.0,-50.81908,10.935434
32.0,-155.0,-49.502434,11.92012
41.0,-56.0,-48.039352,12.353714
-16.0,67.0,-24.114883,-88.025215
-71.0,-221.0,-45.90727,12.0006485
-98.0,-200.0,-28.895128,-77.71954
123.0,-168.0,-17.450298,-99.15881
183.0,-124.0,-16.901691,-97.14961
81.0,-29.0,-10.556281,-98.91695
36.0,-108.0,-2.3687391,-108.30356
103.0,-114.0,-0.38218215,-110.70136
123.0,-84.0,4.1692805,-118.87976
-17.0,-32.0,5.68821,-120.85773
-98.0,-149.0,10.915236,-128.76846
-6.0,-26.0,45.565006,-258.53064
30.0,70.0,47.78047,-262.3943
-138.0,50.0,-11.026116,-74.20522
-65.0,52.0,22.123947,-139.84674
46.0,-2.0,20.77386,-134.87059
-7.0,26.0,19.666061,-129.31897
47.0,-52.0,20.91939,-130.59683
27.0,0.0,-5.94397,-73.73609
-17.0,-22.0,-6.992739,-64.31022
-17.0,43.0,28.459421,-139.82983
32.0,54.0,-5.6316123,-63.973484
28.0,-48.0,-2.3299055,-67.17371
-50.0,126.0,3.9508898,-76.455154
-14.0,142.0,0.39189383,-68.2822
-72.0,113.0,3.241948,-72.19544
105.0,-97.0,8.6239195,-79.86287
152.0,-155.0,10.645479,-83.23247
77.0,112.0,9.245388,-78.1305
-54.0,82.0,13.581448,-84.11656
199.0,8.0,14.861271,-87.72746
157.0,-23.0,17.787174,-94.750656
66.0,0.0,19.278894,-99.58697
81.0,-174.0,19.687101,-99.55372
129.0,-160.0,19.420332,-95.55766
64.0,-109.0,17.05531,-90.770645
-44.0,-137.0,21.22428,-100.20884
-166.0,53.0,18.993357,-94.3867
-108.0,-45.0,18.401693,-95.91445
-61.0,-122.0,19.570665,-96.54493
-169.0,83.0,17.747366,-89.88397
-162.0,-1.0,17.41624,-89.29362
-19.0,-101.0,18.008812,-90.43191
