fx,fy,pred_fx,pred_fy
-121.0,219.0,-4.389909,-144.92865
-42.0,117.0,-4.6079097,-144.35464
-42.0,117.0,-4.7664266,-143.41035
135.0,328.0,-5.3117867,-141.41777
26.0,324.0,-5.585051,-140.23105
112.0,339.0,-5.9433856,-138.7311
-49.0,-82.0,1.7626318,-161.7176
-20.0,208.0,1.7341235,-160.83179
19.0,345.0,8.548265,-183.61798
-47.0,343.0,10.277533,-191.84969
96.0,439.0,10.2683115,-191.96431
240.0,256.0,20.054008,-234.15765
160.0,-69.0,2.194218,-162.68195
-62.0,-49.0,1.6671062,-161.92938
-121.0,246.0,6.7692537,-172.06512
135.0,57.0,2.7725022,-160.97423
158.0,-35.0,2.4119594,-161.90675
-8.0,9.0,3.0199206,-158.87761
-236.0,-86.0,3.0212843,-160.53575
-208.0,-149.0,2.7143815,-163.52191
-127.0,-101.0,-0.22308096,-152.8563
-5.0,-209.0,3.773216,-158.19727
99.0,-226.0,3.1770086,-164.2865
189.0,-59.0,1.5366431,-159.00656
43.0,-34.0,-7.524592,-126.17463
84.0,-5.0,1.4596901,-158.6386
-238.0,64.0,-6.7012267,-130.7917
-424.0,5.0,1.4282595,-157.33467
-301.0,-11.0,-8.011247,-124.079735
-157.0,155.0,-7.8436384,-124.66637
-104.0,26.0,-4.7194753,-137.95848
14.0,88.0,-1.045212,-150.2404
-27.0,272.0,-1.9570891,-149.50102
131.0,-81.0,-17.089495,-102.96344
-54.0,-25.0,1.3397473,-159.6508
-176.0,-397.0,3.5630076,-162.84013
-100.0,-185.0,-4.822469,-136.55595
-166.0,303.0,3.3425388,-163.26944
-154.0,162.0,-7.1166434,-127.33069
-63.0,49.0,-0.26931772,-154.17628
12.0,-62.0,-1.0694343,-151.21219
-76.0,587.0,-3.471408,-141.77887
-190.0,560.0,4.1599293,-159.5568
-286.0,-180.0,3.4575462,-155.9886
-223.0,-267.0,-3.1967797,-142.6535
-61.0,-151.0,-2.058914,-145.91335
-199.0,-233.0,2.6085954,-160.35837
-9.0,-154.0,5.006023,-158.48643
2.0,-124.0,4.7636695,-163.27803
78.0,-265.0,-0.57492185,-148.84361
109.0,-233.0,4.88095,-165.67526
-18.0,-221.0,28.431889,-233.41025
-225.0,-145.0,44.705925,-290.0853
-508.0,-204.0,25.840422,-204.98074
-426.0,-282.0,34.143684,-240.0033
-498.0,-281.0,16.168303,-165.05653
-144.0,-254.0,35.71489,-248.13554
-48.0,-171.0,40.547215,-270.1004
-26.0,-248.0,44.122055,-289.44278
-137.0,-472.0,41.50338,-275.1313
-284.0,-407.0,29.89432,-221.6307
-145.0,-354.0,33.480396,-239.0123
-176.0,-280.0,37.716316,-259.79904
-76.0,-319.0,44.62702,-289.79382
26.0,-314.0,38.580334,-264.42184
-45.0,-275.0,39.885548,-272.7931
-272.0,-118.0,39.37779,-270.81827
-136.0,-234.0,37.17284,-260.03345
35.0,-381.0,41.51299,-283.76248
-117.0,-547.0,40.425323,-279.37555
-143.0,-620.0,35.79814,-260.48138
-111.0,-551.0,55.968536,-354.79056
-192.0,-425.0,35.11751,-262.1375
-103.0,-347.0,40.14589,-287.19257
76.0,-374.0,25.712881,-225.51385
-20.0,-796.0,34.576763,-263.9269
-97.0,-808.0,34.018482,-264.5597
-139.0,-774.0,15.741977,-186.37631
-160.0,-459.0,36.75268,-277.44714
-196.0,-332.0,30.248693,-252.09091
-129.0,-676.0,27.33948,-242.41428
103.0,-441.0,10.002126,-169.79684
55.0,-292.0,10.325912,-172.52307
1.0,-906.0,9.223309,-168.54678
80.0,-876.0,23.33104,-232.55824
8.0,-739.0,16.59463,-201.07439
18.0,-689.0,14.413579,-192.91519
-105.0,-591.0,12.359031,-182.95714
-130.0,-685.0,15.673336,-201.6974
-114.0,-682.0,9.0577135,-170.56918
68.0,-238.0,8.962578,-171.39424
421.0,-407.0,14.185318,-193.98297
450.0,-768.0,9.433258,-171.94849
336.0,-936.0,8.818868,-171.07729
-184.0,-465.0,12.246816,-181.99078
-248.0,-470.0,11.902768,-180.31717
-308.0,-433.0,10.771915,-176.29588
-180.0,-724.0,6.435141,-167.1116
-125.0,-648.0,6.526316,-169.82866
-61.0,-616.0,9.119666,-167.84926
-253.0,-496.0,7.241622,-164.89835
-89.0,-591.0,29.585144,-255.813
-19.0,-299.0,6.7235365,-166.87259
23.0,-176.0,9.314809,-165.8624
58.0,-187.0,8.648856,-164.73814
-75.0,-485.0,7.549759,-162.41685
-126.0,-512.0,6.4226727,-164.47392
-74.0,-286.0,5.2737675,-160.56241
-98.0,-147.0,6.412867,-163.84145
-52.0,80.0,6.988943,-160.16579
38.0,-185.0,7.0426483,-162.38705
-112.0,6.0,-1.6347955,-145.59897
-23.0,54.0,-8.4367285,-127.065895
213.0,-40.0,-0.088591754,-155.56705
162.0,72.0,-7.160672,-128.93869
18.0,59.0,-0.14333555,-153.35982
-7.0,-193.0,-0.2391859,-153.90117
259.0,-376.0,-0.5812859,-151.62
309.0,57.0,-0.48238343,-151.52715
141.0,163.0,-5.081057,-133.15685
117.0,12.0,-0.2734089,-152.71988
82.0,-1.0,-1.3888056,-147.8529
-29.0,65.0,-0.26236922,-154.09976
-157.0,-62.0,-0.22171724,-152.84111
-186.0,-31.0,-0.3483488,-152.38373
-359.0,486.0,1.3904649,-159.32726
-330.0,271.0,-7.2979536,-128.18556
141.0,330.0,-10.143722,-117.41964
339.0,90.0,1.6263891,-157.81125
245.0,-187.0,2.345916,-162.64957
95.0,-145.0,2.4704695,-162.92325
10.0,-90.0,1.6139208,-157.9488
-16.0,34.0,-6.108526,-129.98126
86.0,20.0,-1.0619663,-149.11815
-9.0,-110.0,3.726395,-159.65367
49.0,-104.0,-5.686291,-132.39885
261.0,134.0,2.1983092,-160.06433
244.0,-121.0,3.7201607,-163.64685
176.0,-168.0,2.9150438,-162.91464
-27.0,-203.0,2.298965,-161.77606
-112.0,-50.0,3.2040884,-162.50914
-52.0,77.0,3.2768853,-161.6901
97.0,-210.0,3.4491043,-161.68294
173.0,-43.0,3.6776254,-162.63724
184.0,-124.0,4.133499,-162.36671
153.0,-211.0,4.59223,-158.98192
209.0,-371.0,5.4320245,-157.8339
152.0,-93.0,5.5096917,-157.05525
98.0,72.0,2.9121215,-154.25394
-46.0,-397.0,15.934392,-188.37004
-15.0,-375.0,11.478649,-163.30783
-7.0,-197.0,28.522219,-220.05107
-62.0,-137.0,47.30778,-285.02573
50.0,42.0,65.936714,-289.86462
56.0,58.0,105.062874,-368.59335
229.0,-17.0,111.63304,-339.90048
412.0,-8.0,125.84526,-352.9344
342.0,-135.0,139.24092,-357.18607
274.0,-158.0,159.15027,-383.35962
264.0,-134.0,169.46457,-364.06082
230.0,-103.0,178.53879,-364.3918
128.0,14.0,195.5404,-387.71106
75.0,-18.0,189.52911,-341.7962
1.0,-339.0,203.28572,-366.01328
217.0,-104.0,186.66113,-305.20175
87.0,-129.0,214.18187,-344.81503
-357.0,-134.0,208.45631,-324.91727
-226.0,-189.0,199.11922,-303.37854
-46.0,-303.0,219.40923,-330.61417
100.0,-281.0,226.53735,-335.3347
-33.0,-321.0,231.54234,-337.69498
-34.0,-331.0,258.32474,-379.6569
162.0,-431.0,245.60922,-352.7292
194.0,-282.0,254.19212,-362.33646
165.0,-286.0,254.63254,-358.62012
179.0,-467.0,263.94757,-369.68552
133.0,-452.0,261.13712,-364.875
218.0,77.0,257.3062,-352.0219
144.0,75.0,254.49162,-346.50125
84.0,-89.0,270.0959,-370.95132
304.0,-333.0,271.45505,-369.60312
215.0,-15.0,261.93884,-351.58716
215.0,-15.0,263.3118,-355.51245
104.0,-61.0,268.05576,-359.47397
60.0,-307.0,264.8337,-352.9722
135.0,-524.0,281.7851,-378.24103
152.0,-520.0,265.47882,-349.686
270.0,-59.0,269.85495,-355.2359
250.0,-184.0,276.54214,-363.221
170.0,-250.0,268.9937,-346.8609
144.0,-391.0,286.22797,-374.41235
-229.0,200.0,272.88907,-351.00082
-257.0,83.0,280.69254,-359.03766
10.0,-461.0,275.92276,-350.33282
139.0,-561.0,280.18692,-355.63568
229.0,-367.0,281.02362,-353.21194
123.0,-330.0,275.144,-342.3069
168.0,-482.0,283.6704,-353.21667
189.0,-204.0,284.8436,-353.29776
-11.0,3.0,288.77036,-358.70395
-118.0,-7.0,284.02213,-347.9413
242.0,-329.0,290.52344,-357.20743
338.0,-401.0,290.5015,-353.2671
247.0,-490.0,291.8477,-354.0059
70.0,-133.0,295.29205,-359.74765
158.0,-77.0,295.43027,-358.74994
65.0,-257.0,263.84183,-306.7788
208.0,-160.0,266.6546,-310.13635
308.0,-234.0,298.36966,-360.71127
40.0,-22.0,299.4666,-361.19186
95.0,29.0,268.0082,-307.63654
190.0,303.0,301.73663,-362.09988
266.0,-106.0,271.7178,-311.59448
373.0,-516.0,301.86783,-358.96
365.0,-471.0,296.1064,-347.13947
293.0,-131.0,271.60635,-305.4018
359.0,-249.0,297.14685,-346.52045
401.0,-364.0,304.16522,-357.29697
459.0,-506.0,304.50864,-357.41333
272.0,-400.0,305.14426,-356.9816
95.0,-564.0,307.40753,-361.1069
164.0,-538.0,276.63345,-308.75906
166.0,-432.0,306.21564,-355.36743
211.0,-391.0,306.78098,-356.269
265.0,-411.0,302.0508,-348.66953
49.0,-647.0,278.66748,-308.8505
-80.0,-498.0,309.22958,-357.49356
177.0,34.0,308.51447,-353.63937
177.0,34.0,278.93814,-306.00104
250.0,-286.0,311.56897,-355.3584
4.0,-219.0,281.29388,-305.9927
-43.0,-145.0,282.21484,-305.4918
262.0,-57.0,314.23395,-354.76334
415.0,-109.0,312.6098,-350.92117
