fx,fy,pred_fx,pred_fy
176,437,-104.82049,17.266254
-111,687,-104.51268,17.684372
-159,456,-105.21019,18.085583
168,-172,-104.82049,17.266254
168,-172,-105.233246,18.06753
168,-172,-108.81477,14.065738
-18,70,-104.51268,17.684372
-18,70,-104.74672,17.45339
-305,-21,-104.89166,17.204065
-187,-94,-104.89166,17.204065
-74,-139,-105.22837,17.96264
117,-170,-104.29331,17.891283
138,-189,-105.233246,18.06753
71,-179,-104.883224,17.433617
71,-179,-104.880035,17.553692
-90,47,-104.89166,17.204065
-90,47,-104.54508,17.703287
158,-191,-104.74165,17.52217
178,-198,-105.64671,17.56974
-62,-77,-104.89166,17.204065
-93,-144,-104.92219,17.171682
128,-184,-104.51268,17.684372
128,-184,-104.51268,17.684372
102,-4,-104.74672,17.45339
156,327,-104.883224,17.433617
-217,-141,-104.74354,17.573753
-200,-439,-104.51268,17.684372
-124,-454,-104.84575,17.417568
-56,-78,-104.84575,17.417568
-56,-78,-104.54508,17.703287
-187,-54,-104.84257,17.537931
-98,-115,-104.883224,17.433617
519,-858,-104.883224,17.433617
519,-858,-104.880035,17.553692
-80,-65,-104.84575,17.417568
-325,147,-104.86491,17.326721
-255,270,-104.880035,17.553692
-67,312,-105.26078,17.981556
-192,60,-104.90627,17.415562
-192,60,-104.883224,17.433617
-60,8,-104.883224,17.433617
-7,44,-104.883224,17.433617
-101,27,-104.883224,17.433617
-178,-180,-104.880035,17.553692
-165,-197,-105.37345,17.166811
-157,-17,-104.84575,17.417568
-263,-15,-104.883224,17.433617
-249,70,-105.26565,18.086443
-276,67,-104.54995,17.808174
-95,84,-105.01966,17.337326
-142,-202,-104.880035,17.553692
-191,-326,-104.883224,17.433617
-191,-326,-104.883224,17.433617
-191,-326,-104.587425,17.824223
-123,43,-105.22837,17.96264
-167,243,-105.33026,18.30539
-167,243,-104.74354,17.573753
-137,304,-104.880035,17.553692
-106,-368,-105.412735,17.234158
-118,-362,-108.08518,14.183808
-118,-362,-104.95744,17.469152
-56,-162,-105.233246,18.06753
592,-500,-105.11869,17.301216
592,-500,-109.05953,14.048257
357,-231,-105.858154,17.88068
474,129,-104.288445,17.786394
100,-109,-104.880035,17.553692
-252,-333,-105.00985,17.372288
-286,-230,-107.72373,14.594477
-286,-230,-104.29331,17.891283
27,-136,-107.73224,14.348305
-60,-132,-104.54995,17.808174
297,-71,-104.90627,17.415562
101,-35,-104.54508,17.703287
-375,-287,-104.266235,18.063803
-375,-287,-104.189735,17.934557
-375,-287,-108.54268,13.862267
-44,-47,-104.29331,17.891283
-102,128,-104.54995,17.808174
-102,128,-104.90627,17.415562
-58,-636,-108.16694,14.260325
-332,-144,-108.44365,13.898089
-478,202,-108.86108,14.177791
-382,25,-104.266235,18.063803
-337,-176,-105.174736,18.121119
-304,-79,-108.529434,13.68688
-262,275,-108.44365,13.898089
204,34,-104.54995,17.808174
204,34,-108.44365,13.898089
276,62,-108.95154,14.525125
48,230,-105.06103,17.425879
54,-88,-108.489944,14.010141
250,-243,-108.445526,13.949674
250,-243,-108.187004,13.981197
165,113,-108.445526,13.949674
165,113,-108.44365,13.898089
-134,-287,-108.29656,14.494747
21,-107,-108.97459,14.50707
54,-107,-107.718666,14.663256
-90,-60,-108.57839,14.187534
-90,-60,-108.44365,13.898089
-208,-40,-108.44365,13.898089
-178,-223,-108.95348,14.576422
-589,-386,-108.95348,14.576422
-414,-213,-108.489944,14.010141
-414,-213,-108.44365,13.898089
-184,128,-109.52696,13.762824
1,98,-104.587425,17.824223
123,61,-107.718666,14.663256
123,12,-108.44365,13.898089
63,12,-108.16694,14.260325
-69,-110,-108.95154,14.525125
-100,-32,-108.95348,14.576422
-190,-211,-108.95348,14.576422
-211,-242,-108.16557,15.108313
-244,-37,-107.29526,14.694206
-244,-37,-107.75107,14.68217
-116,-18,-104.682236,14.629439
172,-18,-103.7864,14.781612
172,-18,-103.23558,14.675005
124,-47,-102.02752,14.363207
-87,-51,-97.06979,18.001902
96,-547,-95.99804,13.418356
96,-547,-93.92946,14.775881
101,-398,-89.87991,13.131777
-64,-388,-87.04492,13.922162
-64,-388,-85.25669,13.737318
-61,-181,-83.19559,11.851914
177,-176,-81.83673,13.263889
24,-101,-80.88368,13.477964
-186,-69,-77.81465,11.402558
-221,-378,-76.48314,12.263728
-123,-207,-74.26988,11.448124
41,-172,-71.83076,9.9908695
39,-41,-70.07779,9.105912
-14,-321,-67.81693,9.508843
-14,-321,-65.43905,7.4689727
258,-450,-63.358395,6.3401375
258,-450,-61.0537,4.5968766
147,-472,-58.78654,3.889026
-150,-478,-55.824726,1.3089542
-97,-360,-53.320995,-0.72661734
-290,-268,-50.54257,-2.822944
-428,-509,-49.407753,-2.9367158
-63,-848,-46.885513,-4.9290137
239,-1074,-44.74927,-6.2971425
