fx,fy,pred_fx,pred_fy
-17.0,-68.0,-9.011051,-150.81987
-17.0,-68.0,-4.0104036,-153.38919
6.0,-147.0,-5.1033316,-152.96147
-189.0,-29.0,-3.3961432,-155.74673
42.0,-135.0,-0.45958975,-160.64595
65.0,-171.0,-1.2667848,-160.11949
76.0,-85.0,2.648728,-165.80165
156.0,-88.0,4.5125494,-168.62288
40.0,-76.0,8.139927,-174.22191
70.0,-7.0,11.183241,-176.28615
145.0,-115.0,4.3063025,-137.77536
32.0,-155.0,8.870494,-141.03935
41.0,-56.0,13.825814,-146.99834
-16.0,67.0,25.09349,-189.88719
-71.0,-221.0,22.301231,-155.22287
-98.0,-200.0,24.048098,-190.72615
123.0,-168.0,34.076733,-201.37386
183.0,-124.0,36.568256,-203.22429
81.0,-29.0,46.61111,-208.76488
36.0,-108.0,56.042046,-215.45392
103.0,-114.0,59.11874,-219.18289
123.0,-84.0,63.211082,-224.86703
-17.0,-32.0,66.03373,-227.42532
-98.0,-149.0,71.11367,-232.04585
-6.0,-26.0,97.207695,-267.66635
30.0,70.0,100.54285,-271.0163
-138.0,50.0,61.722153,-218.83684
-65.0,52.0,86.31764,-248.08424
46.0,-2.0,86.71078,-248.15503
-7.0,26.0,87.88722,-247.61311
47.0,-52.0,89.48901,-251.18074
27.0,0.0,74.4209,-232.54492
-17.0,-22.0,77.03743,-231.5998
-17.0,43.0,100.080345,-262.30157
32.0,54.0,80.696106,-236.34296
28.0,-48.0,84.791176,-239.60953
-50.0,126.0,90.00853,-246.23267
-14.0,142.0,89.08691,-246.63301
-72.0,113.0,91.547195,-249.19287
105.0,-97.0,96.27464,-254.3341
152.0,-155.0,98.44401,-257.9543
77.0,112.0,98.87637,-258.8986
-54.0,82.0,102.64389,-263.5856
199.0,8.0,104.2462,-267.14075
157.0,-23.0,106.63778,-270.98938
66.0,0.0,107.42056,-273.85345
81.0,-174.0,108.25334,-275.32016
129.0,-160.0,109.94371,-275.72522
64.0,-109.0,108.89208,-275.4686
-44.0,-137.0,111.81643,-280.563
-166.0,53.0,111.413414,-280.64108
-108.0,-45.0,111.15106,-282.27542
-61.0,-122.0,113.20431,-284.4739
-169.0,83.0,113.22431,-284.25812
-162.0,-1.0,113.445496,-284.6665
-19.0,-101.0,114.21684,-285.6684
104.0,-117.0,114.11852,-284.5162
182.0,-171.0,115.2499,-285.55734
57.0,-180.0,114.98897,-282.78754
10.0,-185.0,115.39185,-281.74268
-65.0,-57.0,116.085014,-280.62418
-4.0,48.0,117.3225,-283.3852
-22.0,8.0,116.81779,-280.09943
-100.0,58.0,117.40666,-278.57797
-57.0,-105.0,116.80415,-278.04065
-127.0,-136.0,116.47764,-276.8737
-44.0,-180.0,116.833374,-275.79672
-13.0,-21.0,117.2147,-275.30554
9.0,-66.0,118.251,-277.04437
95.0,41.0,117.89358,-276.39124
87.0,0.0,117.73213,-275.14893
-129.0,-96.0,117.660446,-274.38333
-49.0,-17.0,118.10735,-273.44092
-67.0,28.0,118.58271,-273.7967
81.0,-21.0,118.36711,-273.43274
124.0,-88.0,119.24509,-274.3561
50.0,229.0,118.91766,-273.77734
-53.0,176.0,117.51316,-271.12836
-47.0,24.0,118.63817,-272.50452
17.0,16.0,117.90981,-272.0589
-43.0,11.0,117.690445,-271.03207
87.0,-79.0,118.64076,-271.36795
63.0,175.0,118.26568,-270.49487
3.0,197.0,119.05365,-270.81442
69.0,47.0,118.68479,-269.23062
124.0,53.0,118.1823,-267.91293
95.0,117.0,119.252754,-268.56677
-10.0,44.0,119.31665,-267.268
-76.0,18.0,119.55031,-266.36298
-16.0,-35.0,120.23918,-266.09946
-152.0,251.0,120.35555,-265.16724
-117.0,109.0,119.58966,-263.769
46.0,1.0,119.53498,-261.48154
60.0,-100.0,119.33198,-260.24738
117.0,-162.0,119.719536,-260.1461
154.0,-40.0,117.336136,-255.59592
-31.0,92.0,115.17379,-253.81311
-67.0,-121.0,115.55394,-253.80838
-54.0,-152.0,113.23223,-250.89816
0.0,-167.0,113.21821,-250.68625
-126.0,-63.0,112.18165,-247.27266
-185.0,232.0,112.26438,-247.21562
-54.0,18.0,109.040405,-238.8233
-36.0,-63.0,105.78396,-232.35406
127.0,-142.0,104.16671,-229.68959
-129.0,-100.0,96.87624,-218.6669
-123.0,-131.0,93.467064,-214.24886
64.0,-32.0,92.16477,-209.29318
82.0,142.0,86.48323,-206.0494
93.0,140.0,84.24088,-201.42773
-107.0,-47.0,80.70455,-197.93533
35.0,-93.0,96.48661,-217.42
176.0,-95.0,89.52057,-209.63994
150.0,-85.0,87.18691,-205.71811
86.0,-147.0,79.90203,-197.07487
-59.0,4.0,76.7643,-192.90201
25.0,-76.0,69.67474,-187.03444
129.0,-146.0,68.26881,-184.33601
-8.0,43.0,66.16218,-181.47939
-29.0,-68.0,81.85644,-207.2586
102.0,-177.0,79.96619,-202.43176
121.0,-183.0,54.06367,-170.74098
22.0,1.0,47.763653,-165.35487
52.0,-122.0,45.810997,-163.02713
92.0,-263.0,59.37057,-183.58403
-33.0,-58.0,52.697933,-178.64856
-120.0,-60.0,27.969261,-149.6158
-72.0,-81.0,27.596054,-148.2878
-85.0,14.0,20.301102,-143.5869
-24.0,53.0,19.605993,-143.44417
30.0,68.0,14.243958,-140.63112
-89.0,53.0,11.552745,-137.89442
26.0,22.0,7.024465,-136.55481
76.0,-134.0,1.8939389,-132.89276
-83.0,58.0,-0.23944566,-130.746
-30.0,25.0,-3.1518416,-129.46184
45.0,-38.0,-1.8003258,-133.03061
28.0,-51.0,-3.936113,-129.98341
20.0,64.0,-9.84591,-125.46564
129.0,20.0,-7.8444176,-128.87434
121.0,33.0,-6.7294755,-131.58467
102.0,47.0,-10.372567,-127.37311
57.0,-16.0,-11.739928,-125.43955
-32.0,28.0,-8.840586,-131.9502
-56.0,73.0,-9.1353445,-130.8698
81.0,-39.0,-11.847728,-127.679886
62.0,-59.0,-13.176061,-129.0238
8.0,3.0,-16.437895,-125.8859
44.0,-185.0,-33.72979,-70.33368
