fx,fy,pred_fx,pred_fy
-121.0,219.0,-37.107674,-107.59012
-42.0,117.0,-37.77564,-107.40886
-42.0,117.0,-38.402367,-106.51444
135.0,328.0,-39.975456,-104.815315
26.0,324.0,-40.242226,-104.4015
112.0,339.0,-41.29788,-102.924034
-49.0,-82.0,-15.291781,-134.3824
-20.0,208.0,-13.172554,-137.38904
19.0,345.0,4.2163615,-158.3781
-47.0,343.0,7.1726565,-162.0476
96.0,439.0,5.5765796,-159.83636
240.0,256.0,20.671646,-177.96535
160.0,-69.0,-16.182749,-128.9821
-62.0,-49.0,-20.925068,-122.407974
-121.0,246.0,3.8916652,-153.16795
135.0,57.0,-11.673495,-130.88412
158.0,-35.0,-12.838441,-130.38734
-8.0,9.0,-6.5636206,-135.06532
-236.0,-86.0,-9.415688,-131.28864
-208.0,-149.0,-14.331655,-126.403175
-127.0,-101.0,-22.893831,-115.443535
-5.0,-209.0,-2.063005,-141.31046
99.0,-226.0,-13.531538,-125.7535
189.0,-59.0,-17.3299,-121.94143
43.0,-34.0,-40.452305,-94.08264
84.0,-5.0,-17.81545,-122.18287
-238.0,64.0,-38.719337,-96.85816
-424.0,5.0,-17.668818,-123.10064
-301.0,-11.0,-42.774727,-92.59501
-157.0,155.0,-42.223198,-93.47036
-104.0,26.0,-35.243332,-101.061844
14.0,88.0,-25.602512,-115.12672
-27.0,272.0,-28.328209,-112.939545
131.0,-81.0,-60.714653,-72.93682
-54.0,-25.0,-19.545044,-121.75988
-176.0,-397.0,-10.628558,-130.75287
-100.0,-185.0,-34.113,-103.98424
-166.0,303.0,-11.776879,-130.16954
-154.0,162.0,-39.321712,-95.753395
-63.0,49.0,-22.742653,-116.877144
12.0,-62.0,-25.56868,-112.76889
-76.0,587.0,-30.986042,-105.14302
-190.0,560.0,-0.50407314,-143.9477
-286.0,-180.0,1.9831655,-147.3749
-223.0,-267.0,-30.665956,-106.09074
-61.0,-151.0,-27.603876,-108.57996
-199.0,-233.0,-15.3463955,-122.29965
-9.0,-154.0,7.8026323,-149.0607
2.0,-124.0,-2.0367696,-136.73479
78.0,-265.0,-22.544847,-109.80237
109.0,-233.0,-7.8880568,-123.47477
-18.0,-221.0,45.472794,-172.77727
-225.0,-145.0,73.06587,-192.93109
-508.0,-204.0,48.98568,-163.01982
-426.0,-282.0,59.344986,-174.99481
-498.0,-281.0,37.199203,-146.23445
-144.0,-254.0,61.868656,-178.47504
-48.0,-171.0,68.115685,-186.64526
-26.0,-248.0,71.287964,-191.07822
-137.0,-472.0,68.98964,-187.29623
-284.0,-407.0,54.489025,-168.98598
-145.0,-354.0,56.885868,-172.0667
-176.0,-280.0,63.358624,-182.05641
-76.0,-319.0,73.1212,-193.16437
26.0,-314.0,64.88833,-184.9768
-45.0,-275.0,65.0964,-185.84785
-272.0,-118.0,63.523567,-183.78134
-136.0,-234.0,60.417393,-181.66394
35.0,-381.0,65.53448,-190.76985
-117.0,-547.0,63.239395,-188.25053
-143.0,-620.0,55.071075,-180.53812
-111.0,-551.0,83.45408,-217.92294
-192.0,-425.0,53.15147,-180.46161
-103.0,-347.0,59.70397,-191.05013
76.0,-374.0,40.425907,-168.67775
-20.0,-796.0,51.320377,-183.51352
-97.0,-808.0,49.383175,-182.0441
-139.0,-774.0,28.04985,-156.69144
-160.0,-459.0,53.63923,-190.49187
-196.0,-332.0,43.101795,-178.06107
-129.0,-676.0,40.491756,-177.83081
103.0,-441.0,18.863478,-152.2423
55.0,-292.0,19.05336,-154.59726
1.0,-906.0,16.047646,-151.18439
80.0,-876.0,34.18752,-176.52429
8.0,-739.0,26.939388,-165.86311
18.0,-689.0,24.991146,-164.68729
-105.0,-591.0,21.836786,-161.30121
-130.0,-685.0,24.134272,-166.64404
-114.0,-682.0,17.102064,-156.33966
68.0,-238.0,16.829254,-156.92085
421.0,-407.0,22.190186,-163.72252
450.0,-768.0,17.201746,-157.21416
336.0,-936.0,15.731912,-155.89618
-184.0,-465.0,21.51813,-159.90327
-248.0,-470.0,22.070309,-161.27455
-308.0,-433.0,19.526636,-157.80522
-180.0,-724.0,3.0170634,-137.0539
-125.0,-648.0,-1.6414193,-130.82939
-61.0,-616.0,17.907312,-154.38663
-253.0,-496.0,7.9132886,-140.37477
-89.0,-591.0,42.632282,-186.15952
-19.0,-299.0,0.39390695,-129.96693
23.0,-176.0,20.548326,-154.32501
58.0,-187.0,15.458906,-149.8412
-75.0,-485.0,10.837634,-142.05756
-126.0,-512.0,0.99862134,-130.44179
-74.0,-286.0,-1.5514785,-127.90342
-98.0,-147.0,1.6945754,-133.2262
-52.0,80.0,9.890235,-142.12477
38.0,-185.0,5.4613123,-138.0423
-112.0,6.0,-23.232035,-113.49723
-23.0,54.0,-44.72057,-94.88004
213.0,-40.0,-21.965525,-119.937805
162.0,72.0,-40.38678,-95.55078
18.0,59.0,-21.886559,-118.903404
-7.0,-193.0,-21.99845,-116.58039
259.0,-376.0,-23.031113,-115.57206
309.0,57.0,-22.234762,-118.21862
141.0,163.0,-34.111572,-100.58011
117.0,12.0,-22.32769,-116.8022
82.0,-1.0,-25.031437,-113.63536
-29.0,65.0,-21.578032,-117.824715
-157.0,-62.0,-21.784214,-118.159584
-186.0,-31.0,-22.225996,-117.57797
-359.0,486.0,-18.409061,-120.87292
-330.0,271.0,-39.912075,-95.90944
141.0,330.0,-45.61491,-86.5757
339.0,90.0,-17.15359,-121.88039
245.0,-187.0,-15.854935,-124.20469
95.0,-145.0,-15.240285,-124.12286
10.0,-90.0,-17.856947,-120.40765
-16.0,34.0,-37.40068,-97.21567
86.0,20.0,-24.747068,-114.74299
-9.0,-110.0,-2.6718106,-140.98103
49.0,-104.0,-35.89922,-97.01893
261.0,134.0,-15.738109,-121.57933
244.0,-121.0,-10.645377,-127.35304
176.0,-168.0,-12.609401,-127.27452
-27.0,-203.0,-15.993125,-120.72203
-112.0,-50.0,-10.677392,-129.21767
-52.0,77.0,-9.886951,-128.96791
97.0,-210.0,-8.433612,-130.34952
173.0,-43.0,-9.451729,-127.646645
184.0,-124.0,-7.0181303,-129.67162
153.0,-211.0,0.8030243,-139.95851
209.0,-371.0,6.6495056,-143.85684
152.0,-93.0,8.08765,-141.82715
98.0,72.0,-11.379061,-116.570076
-46.0,-397.0,29.173883,-160.59264
-15.0,-375.0,26.202848,-148.66507
-7.0,-197.0,55.274853,-173.09738
-62.0,-137.0,83.91696,-198.88792
50.0,42.0,108.14346,-205.77486
56.0,58.0,150.88077,-241.68193
229.0,-17.0,161.38275,-237.7982
412.0,-8.0,176.99492,-244.56033
342.0,-135.0,188.08266,-250.12283
274.0,-158.0,202.00056,-262.59302
264.0,-134.0,207.46677,-258.58035
230.0,-103.0,212.26318,-260.16156
128.0,14.0,224.77165,-272.19574
75.0,-18.0,219.00128,-257.33243
1.0,-339.0,227.82224,-266.62793
217.0,-104.0,214.99231,-240.83896
87.0,-129.0,237.38701,-267.79904
-357.0,-134.0,231.40923,-253.2762
-226.0,-189.0,226.0781,-243.77223
-46.0,-303.0,240.13849,-257.93054
100.0,-281.0,246.92242,-262.66266
-33.0,-321.0,249.40831,-263.478
-34.0,-331.0,270.72073,-291.036
162.0,-431.0,259.81665,-273.40137
194.0,-282.0,267.57492,-280.58276
165.0,-286.0,267.63235,-278.59204
179.0,-467.0,273.35272,-284.54572
133.0,-452.0,273.90277,-284.1849
218.0,77.0,268.03262,-273.99387
144.0,75.0,267.20633,-271.75998
84.0,-89.0,281.1666,-289.2724
304.0,-333.0,280.87112,-287.49747
215.0,-15.0,271.79156,-273.96393
215.0,-15.0,273.41144,-276.51248
104.0,-61.0,276.02225,-279.24915
60.0,-307.0,274.48825,-275.77252
135.0,-524.0,288.01926,-292.2445
152.0,-520.0,274.93375,-274.3412
270.0,-59.0,277.08517,-276.58755
250.0,-184.0,282.0208,-281.9887
170.0,-250.0,275.8986,-271.62357
144.0,-391.0,291.96744,-291.60458
-229.0,200.0,281.72067,-277.0749
-257.0,83.0,285.55078,-280.22394
10.0,-461.0,283.1088,-275.60013
139.0,-561.0,287.07867,-280.07077
229.0,-367.0,286.515,-277.54773
123.0,-330.0,283.08414,-271.3049
168.0,-482.0,288.27707,-277.46246
189.0,-204.0,289.3427,-277.4102
-11.0,3.0,293.38663,-282.1714
-118.0,-7.0,287.6647,-273.45554
242.0,-329.0,294.38745,-281.32098
338.0,-401.0,293.2609,-277.77612
247.0,-490.0,293.89743,-277.7144
70.0,-133.0,297.65936,-282.4173
158.0,-77.0,298.91217,-282.36426
65.0,-257.0,276.77866,-252.58669
208.0,-160.0,277.79236,-253.60934
308.0,-234.0,302.20874,-285.0481
40.0,-22.0,302.92502,-285.24896
95.0,29.0,278.39722,-252.46747
190.0,303.0,304.49994,-286.02847
