fx,fy,pred_fx,pred_fy
176,437,-138.76671,-121.46083
-111,687,-136.29005,-124.88646
-159,456,-136.66722,-125.61079
168,-172,-138.45981,-121.8758
168,-172,-137.01556,-125.86097
168,-172,-155.89107,-101.86412
-18,70,-136.22238,-124.74804
-18,70,-136.69774,-123.70948
-305,-21,-138.6608,-121.920074
-187,-94,-138.7706,-121.689095
-74,-139,-137.23415,-125.23566
117,-170,-135.48312,-125.67942
138,-189,-136.7884,-126.335686
71,-179,-136.76685,-123.67509
71,-179,-136.70593,-124.24108
-90,47,-139.01231,-121.47975
-90,47,-135.83588,-125.2699
158,-191,-136.66702,-124.58999
178,-198,-139.04666,-122.85088
-62,-77,-139.15018,-121.22698
-93,-144,-139.20012,-121.46456
128,-184,-136.40512,-124.816246
128,-184,-136.24258,-124.7201
102,-4,-136.63501,-124.18348
156,327,-136.8899,-123.34824
-217,-141,-136.60611,-124.65361
-200,-439,-136.70462,-124.21758
-124,-454,-137.4398,-123.303535
-56,-78,-137.07245,-123.576935
-56,-78,-136.45786,-124.82026
-187,-54,-136.8495,-124.332214
-98,-115,-137.06569,-123.381775
519,-858,-137.34518,-123.645424
519,-858,-136.69008,-124.63943
-80,-65,-136.83588,-123.7774
-325,147,-137.80574,-123.09534
-255,270,-136.94243,-123.70647
-67,312,-137.5815,-125.123604
-192,60,-137.78606,-123.0535
-192,60,-137.43825,-123.288925
-60,8,-137.34901,-123.176155
-7,44,-137.03049,-123.73957
-101,27,-137.6319,-123.191345
-178,-180,-137.0388,-124.185196
-165,-197,-139.85068,-120.34117
-157,-17,-137.01575,-123.22172
-263,-15,-137.4474,-123.293076
-249,70,-137.51721,-124.74947
-276,67,-136.44772,-124.83416
-95,84,-139.43655,-120.88323
-142,-202,-136.59833,-124.5301
-191,-326,-137.40532,-123.94934
-191,-326,-137.29175,-123.44095
-191,-326,-136.05452,-125.1418
-123,43,-137.97673,-124.257706
-167,243,-136.44539,-125.91227
-167,243,-136.15018,-125.22118
-137,304,-137.257,-124.10796
-106,-368,-139.73619,-121.10519
-118,-362,-153.32733,-103.86
-118,-362,-137.44038,-123.62106
-56,-162,-137.19589,-125.20714
592,-500,-139.64177,-120.51727
592,-500,-156.25063,-102.52555
357,-231,-139.08089,-122.85346
474,129,-135.91835,-125.48798
100,-109,-136.78508,-124.57752
-252,-333,-138.98537,-121.63665
-286,-230,-152.47032,-104.54622
-286,-230,-136.12888,-125.57568
27,-136,-152.38324,-104.511826
-60,-132,-136.44798,-124.841896
297,-71,-138.72346,-121.95103
101,-35,-136.3372,-125.06672
-375,-287,-135.3628,-126.61453
-375,-287,-135.5491,-126.3708
-375,-287,-155.62299,-100.593285
-44,-47,-135.75171,-125.624115
-102,128,-136.1268,-125.56536
-102,128,-137.72404,-123.31199
-58,-636,-152.83444,-104.41826
-332,-144,-155.03133,-101.71324
-478,202,-155.85658,-102.67256
-382,25,-135.23518,-126.51766
-337,-176,-136.13953,-126.200134
-304,-79,-156.0245,-100.503876
-262,275,-154.97354,-101.75995
204,34,-136.2805,-125.58514
204,34,-155.23232,-101.259155
276,62,-154.4598,-104.261215
48,230,-139.07361,-121.737816
54,-88,-154.89963,-101.74161
250,-243,-154.96022,-101.77944
250,-243,-154.59572,-102.51609
165,113,-155.049,-102.14612
165,113,-155.36258,-101.28208
-134,-287,-153.80229,-103.41079
21,-107,-155.31245,-103.24673
