fx,fy,pred_fx,pred_fy
-17.0,-68.0,-20.43036,-20.667795
-17.0,-68.0,-19.62232,-20.225317
6.0,-147.0,-27.2158,-10.620905
-189.0,-29.0,-29.018124,-13.721977
42.0,-135.0,-31.76869,-21.94121
65.0,-171.0,-36.291515,-18.563732
76.0,-85.0,-34.401524,-23.824608
156.0,-88.0,-34.710052,-29.978466
40.0,-76.0,-28.087284,-43.040886
70.0,-7.0,-31.637188,-34.484062
145.0,-115.0,-55.06416,1.883832
32.0,-155.0,-53.98792,3.560033
41.0,-56.0,-49.04864,-5.4070277
-16.0,67.0,-25.868504,-45.529396
-71.0,-221.0,-45.641277,-14.520101
-98.0,-200.0,-33.333984,-39.36694
123.0,-168.0,-27.317364,-45.797062
183.0,-124.0,-29.269049,-42.935425
81.0,-29.0,-25.950457,-44.547146
36.0,-108.0,-21.28048,-55.60867
103.0,-114.0,-21.301846,-53.087776
123.0,-84.0,-17.96189,-57.22039
-17.0,-32.0,-17.737524,-51.805763
-98.0,-149.0,-12.863442,-54.07103
-6.0,-26.0,14.838412,-98.43148
30.0,70.0,16.890493,-98.18602
-138.0,50.0,-32.49367,-22.50534
-65.0,52.0,-4.694344,-57.1486
46.0,-2.0,-5.0894346,-54.07977
-7.0,26.0,-5.506994,-49.350784
47.0,-52.0,0.15726829,-57.753716
27.0,0.0,-18.33042,-30.35288
-17.0,-22.0,-21.775902,-24.438461
-17.0,43.0,12.518197,-68.702324
32.0,54.0,-16.814152,-35.065674
28.0,-48.0,-12.771684,-36.974007
-50.0,126.0,-1.4847858,-47.877625
-14.0,142.0,-1.5072548,-46.217472
-72.0,113.0,0.6890559,-47.04583
105.0,-97.0,7.056935,-52.363876
152.0,-155.0,5.958227,-52.379925
77.0,112.0,1.8708205,-47.15129
-54.0,82.0,5.2118807,-50.423306
199.0,8.0,2.5127451,-46.46565
157.0,-23.0,1.7652943,-45.36963
66.0,0.0,2.5127451,-46.46565
81.0,-174.0,2.490276,-44.805496
129.0,-160.0,0.9975823,-40.892117
64.0,-109.0,-3.5466075,-34.993885
-44.0,-137.0,0.5194345,-37.70163
-166.0,53.0,-0.9754672,-35.509586
-108.0,-45.0,-1.8059754,-34.292053
-61.0,-122.0,-0.6242108,-34.397514
-169.0,83.0,-0.99683225,-32.988834
-162.0,-1.0,-1.3716617,-33.301495
-19.0,-101.0,-0.6242108,-34.397514
104.0,-117.0,-1.3705577,-32.440754
182.0,-171.0,0.848222,-34.929405
57.0,-180.0,-2.1404777,-29.684578
10.0,-185.0,-0.66804475,-30.216469
-65.0,-57.0,-2.6186254,-26.494236
-4.0,48.0,1.1781135,-31.296442
-22.0,8.0,0.03557211,-27.131588
-100.0,58.0,-0.44367963,-24.801844
-57.0,-105.0,-2.288734,-22.861273
-127.0,-136.0,-4.9878693,-18.903614
-44.0,-180.0,-7.6028438,-14.206869
-13.0,-21.0,-7.2291183,-14.754808
9.0,-66.0,-3.0586538,-20.105099
95.0,41.0,-4.5524516,-17.052313
87.0,0.0,-6.1079416,-16.398912
-129.0,-96.0,-4.636613,-17.7914
-49.0,-17.0,-8.722916,-11.7021675
-67.0,28.0,-8.722916,-11.7021675
81.0,-21.0,-9.179698,-11.032576
124.0,-88.0,-9.096641,-11.154085
50.0,229.0,-10.651027,-9.639944
-53.0,176.0,-9.553424,-10.484493
-47.0,24.0,-9.844091,-10.0580635
17.0,16.0,-10.651027,-9.639944
-43.0,11.0,-10.673496,-7.979792
87.0,-79.0,-10.216713,-8.6493845
63.0,175.0,-9.948514,-7.415661
3.0,197.0,-8.476082,-7.9475517
69.0,47.0,-9.969879,-4.894911
124.0,53.0,-7.7724648,-4.862671
95.0,117.0,-7.4212084,-3.7504573
-10.0,44.0,-3.6458347,-6.0319138
-76.0,18.0,-1.0746944,-6.5476127
-16.0,-35.0,1.2046736,-7.4976225
-152.0,251.0,4.89699,-9.657426
-117.0,109.0,3.3201349,-6.4831324
46.0,1.0,5.143824,-5.902953
60.0,-100.0,7.0494666,-6.30488
117.0,-162.0,8.896729,-6.524113
154.0,-40.0,6.9225755,-2.0023243
-31.0,92.0,5.5567727,-2.391499
-67.0,-121.0,6.572423,-2.2537975
-54.0,-152.0,5.4726114,-3.1305866
0.0,-167.0,9.292924,-8.732348
-126.0,-63.0,7.31877,-4.21056
-185.0,232.0,6.675741,-5.756941
-54.0,18.0,4.853156,-5.4765234
-36.0,-63.0,1.4301428,-1.222256
127.0,-142.0,1.3470855,-1.1007464
-129.0,-100.0,-6.866952,5.2971325
-123.0,-131.0,-3.817664,1.5909481
64.0,-32.0,-4.585376,6.0684605
82.0,142.0,-4.9163713,1.5748997
93.0,140.0,-6.0375476,3.2188606
-107.0,-47.0,-5.288993,2.9835792
35.0,-93.0,21.719051,-26.382757
176.0,-95.0,15.456698,-22.846514
150.0,-85.0,10.933874,-19.469036
86.0,-147.0,0.17337322,-12.494272
-59.0,4.0,-4.3269825,-10.776947
25.0,-76.0,-12.914744,-3.8311293
129.0,-146.0,-15.134628,-2.2032163
-8.0,43.0,-17.413996,-1.2532065
-29.0,-68.0,6.8648443,-41.359528
102.0,-177.0,-3.985532,-27.744007
121.0,-183.0,-30.72648,1.9953113
22.0,1.0,-37.072994,4.7924666
52.0,-122.0,-39.269306,5.620824
92.0,-263.0,-21.925262,-18.475752
-33.0,-58.0,-26.77577,-17.010044
-120.0,-60.0,-50.36301,6.380688
-72.0,-81.0,-49.24073,5.5973244
-85.0,14.0,-51.790504,3.5922732
-24.0,53.0,-49.900513,-1.668603
30.0,68.0,-51.679264,-5.5690885
-89.0,53.0,-51.575947,-9.072231
26.0,22.0,-51.756477,-18.667904
