fx,fy,pred_fx,pred_fy
-121.0,219.0,-78.1589,106.02281
-42.0,117.0,-73.59224,98.46443
-42.0,117.0,-74.79647,100.23005
135.0,328.0,-86.45489,113.40295
26.0,324.0,-84.58626,110.66282
112.0,339.0,-83.031876,109.148674
-49.0,-82.0,-46.97818,73.02767
-20.0,208.0,-36.397106,57.317837
19.0,345.0,-25.739923,53.846073
-47.0,343.0,-21.113781,46.965595
96.0,439.0,-34.766613,68.04177
240.0,256.0,-11.076055,41.147896
160.0,-69.0,-73.82927,112.78909
-62.0,-49.0,-70.86304,109.204414
-121.0,246.0,-32.634396,74.77581
135.0,57.0,-8.131189,40.084114
158.0,-35.0,-5.0369635,33.057625
-8.0,9.0,-1.0383284,35.33034
-236.0,-86.0,-0.7361011,14.303885
-208.0,-149.0,-1.5753112,-1.6971176
-127.0,-101.0,-9.059171,31.584463
-5.0,-209.0,1.9353702,-14.31319
99.0,-226.0,-2.0700834,-10.066804
189.0,-59.0,-5.9701405,-1.7615979
43.0,-34.0,-25.858763,46.649643
84.0,-5.0,-6.283278,0.3249848
-238.0,64.0,-13.515693,29.120743
-424.0,5.0,-10.601998,12.49858
-301.0,-11.0,-17.579527,33.549965
-157.0,155.0,-39.09514,62.136093
-104.0,26.0,-10.624467,14.158733
14.0,88.0,-26.66901,44.485683
-27.0,272.0,-9.788244,5.561502
131.0,-81.0,-76.24644,99.10178
-54.0,-25.0,-6.322501,-3.7344089
-176.0,-397.0,-4.3045135,-12.4371
-100.0,-185.0,-26.49718,36.86282
-166.0,303.0,-8.564854,-0.44634295
-154.0,162.0,-30.315285,44.18592
-63.0,49.0,-12.290094,24.83438
12.0,-62.0,-11.019557,17.227566
-76.0,587.0,-18.893898,45.337685
-190.0,560.0,-3.926697,12.473791
-286.0,-180.0,8.112912,-47.30604
-223.0,-267.0,-9.592063,20.01598
-61.0,-151.0,-8.448418,16.711866
-199.0,-233.0,-2.7501276,-13.951241
-9.0,-154.0,11.260324,-80.834946
2.0,-124.0,0.61755776,-67.524345
78.0,-265.0,-2.0569007,-63.5055
109.0,-233.0,2.6344411,-77.08778
-18.0,-221.0,14.764641,-151.83966
-225.0,-145.0,21.830877,-143.34244
-508.0,-204.0,12.736134,-152.88466
-426.0,-282.0,15.726651,-165.60017
-498.0,-281.0,11.44079,-139.49756
-144.0,-254.0,16.129145,-177.67805
-48.0,-171.0,19.051542,-177.08168
-26.0,-248.0,20.637033,-194.24591
-137.0,-472.0,19.100636,-191.99297
-284.0,-407.0,11.88491,-188.68614
-145.0,-354.0,12.094209,-190.62025
-176.0,-280.0,14.981408,-199.83278
-76.0,-319.0,18.053165,-205.19911
26.0,-314.0,12.93225,-206.68846
-45.0,-275.0,12.624827,-211.98158
-272.0,-118.0,11.813412,-209.1645
