fx,fy,pred_fx,pred_fy
176,437,-41.26372,13.524103
-111,687,-41.61608,11.551292
-159,456,-42.693424,9.014351
168,-172,-45.50159,23.85485
168,-172,-42.3197,8.466412
168,-172,-52.679913,38.691914
-18,70,-43.132347,16.26423
-18,70,-40.49601,9.046591
-305,-21,-41.989807,12.099376
-187,-94,-43.58913,16.933823
-74,-139,-42.258007,10.865652
117,-170,-39.374832,7.4026294
138,-189,-41.945972,7.918329
71,-179,-40.867527,11.316011
71,-179,-41.242355,11.003353
-90,47,-43.901165,19.881002
-90,47,-42.3849,15.168208
158,-191,-43.506073,16.81217
178,-198,-45.725956,18.440083
-62,-77,-42.3849,15.168208
-93,-144,-42.363533,12.647315
128,-184,-42.3849,15.168208
128,-184,-43.506073,16.81217
102,-4,-42.362427,13.508055
156,327,-40.494904,9.907331
-217,-141,-43.02682,14.482424
-200,-439,-43.984222,20.002655
-124,-454,-43.131245,17.124826
-56,-78,-42.011173,14.620126
-56,-78,-43.506073,16.81217
-187,-54,-42.011173,14.620126
-98,-115,-41.26372,13.524103
519,-858,-41.989807,12.099376
519,-858,-39.246838,3.9606707
-80,-65,-43.131245,17.124826
-325,147,-44.35795,20.550594
-255,270,-39.6655,7.829059
-67,312,-43.043575,8.762877
-192,60,-41.242355,11.003353
-192,60,-44.273785,21.289682
-60,8,-40.389378,8.125525
-7,44,-41.24346,10.142613
-101,27,-42.3849,15.168208
-178,-180,-41.555492,13.089936
-165,-197,-44.253525,17.908192
-157,-17,-43.902267,19.020405
-263,-15,-42.383793,16.028805
-249,70,-41.945972,7.918329
-276,67,-40.763103,8.673608
-95,84,-43.52854,18.472322
-142,-202,-41.510555,9.76963
-191,-326,-41.989807,12.099376
-191,-326,-42.73726,13.195397
-191,-326,-41.24346,10.142613
-123,43,-41.092995,5.040644
-167,243,-37.231056,-6.4633584
-167,243,-43.483604,15.152017
-137,304,-43.483604,15.152017
-106,-368,-43.46224,12.631267
-118,-362,-53.55536,43.229893
-118,-362,-41.11436,7.561394
-56,-162,-38.809017,-4.149805
592,-500,-43.154816,17.924383
592,-500,-55.27352,40.86791
357,-231,-39.49367,0.20619774
474,129,-44.27489,20.429085
100,-109,-42.363533,12.647315
-252,-333,-43.901165,19.881002
-286,-230,-50.132347,38.975628
-286,-230,-41.242355,11.003353
27,-136,-52.830376,43.794025
-60,-132,-41.928116,14.498616
297,-71,-43.8798,17.360252
101,-35,-42.362427,13.508055
-375,-287,-41.22099,8.48246
-375,-287,-43.588028,17.794418
-375,-287,-49.01117,37.331665
-44,-47,-40.86863,10.455271
-102,128,-43.10988,14.604077
-102,128,-44.7081,20.29912
-58,-636,-50.10988,37.31547
-332,-144,-56.627117,48.59623
-478,202,-52.741604,36.29267
-382,25,-41.989807,12.099376
-337,-176,-41.092995,5.040644
-304,-79,-55.44425,49.351368
-262,275,-55.795506,48.239296
204,34,-42.736153,14.055994
204,34,-56.54406,48.47458
276,62,-51.9111,35.07514
48,230,-44.252422,18.768932
54,-88,-53.927982,44.638573
250,-243,-56.603542,47.796677
250,-243,-59.570877,50.52061
165,113,-56.147865,46.266487
165,113,-57.352097,48.0321
-134,-287,-49.384895,37.879604
21,-107,-54.549644,40.5713
54,-107,-54.280342,42.665764
