fx,fy,pred_fx,pred_fy
-17.0,-68.0,13.074142,-220.76022
-17.0,-68.0,13.210449,-227.82396
6.0,-147.0,11.612229,-235.74873
-189.0,-29.0,11.853414,-262.90326
42.0,-135.0,14.006345,-317.0951
65.0,-171.0,12.918028,-316.68655
76.0,-85.0,13.312859,-315.32086
156.0,-88.0,13.499365,-304.15646
40.0,-76.0,12.344484,-286.1967
70.0,-7.0,12.620866,-275.5732
145.0,-115.0,19.597422,-233.71918
32.0,-155.0,22.293959,-221.3083
41.0,-56.0,26.390327,-198.30316
-16.0,67.0,25.710283,-215.98308
-71.0,-221.0,35.82834,-170.4223
-98.0,-200.0,31.891981,-207.8269
123.0,-168.0,36.43357,-204.28062
183.0,-124.0,41.22375,-206.3705
81.0,-29.0,48.407333,-198.0845
36.0,-108.0,55.978016,-192.20848
103.0,-114.0,62.574547,-197.85036
123.0,-84.0,69.48279,-198.27565
-17.0,-32.0,72.940674,-199.26378
-98.0,-149.0,73.29005,-191.97807
-6.0,-26.0,80.780136,-187.66075
30.0,70.0,73.73319,-192.1235
-138.0,50.0,67.9684,-201.75844
-65.0,52.0,70.49181,-203.57205
46.0,-2.0,67.971,-206.92747
-7.0,26.0,69.19627,-207.76457
47.0,-52.0,70.43765,-210.5547
27.0,0.0,70.16127,-227.05206
-17.0,-22.0,76.79624,-241.24818
-17.0,43.0,86.68026,-300.80893
32.0,54.0,99.130936,-340.41403
28.0,-48.0,119.266,-356.8042
-50.0,126.0,148.88246,-356.75333
-14.0,142.0,174.94258,-358.93063
-72.0,113.0,191.12259,-357.7389
105.0,-97.0,200.3076,-342.64618
152.0,-155.0,177.06792,-311.3148
77.0,112.0,164.69492,-279.53687
-54.0,82.0,153.10793,-249.31912
199.0,8.0,130.84207,-221.05153
157.0,-23.0,118.52855,-203.08516
66.0,0.0,110.379196,-189.39342
81.0,-174.0,106.69584,-175.69206
129.0,-160.0,108.54401,-161.01892
64.0,-109.0,103.612,-151.61197
-44.0,-137.0,102.678955,-139.04834
-166.0,53.0,103.55641,-119.91804
-108.0,-45.0,102.44985,-110.687325
-61.0,-122.0,106.3888,-95.23756
-169.0,83.0,110.022285,-81.11092
-162.0,-1.0,109.11054,-72.87119
-19.0,-101.0,108.77623,-69.446
104.0,-117.0,106.857666,-68.99664
182.0,-171.0,103.58291,-69.03505
57.0,-180.0,96.84975,-76.80621
10.0,-185.0,94.72,-80.22453
-65.0,-57.0,88.962746,-86.4807
-4.0,48.0,84.79338,-90.45025
-22.0,8.0,80.72351,-97.620605
-100.0,58.0,79.080284,-101.35086
-57.0,-105.0,75.214325,-111.99269
-127.0,-136.0,71.233284,-122.00404
-44.0,-180.0,70.97171,-128.92535
-13.0,-21.0,67.93983,-139.45084
9.0,-66.0,67.94321,-144.12164
95.0,41.0,65.70124,-149.88647
87.0,0.0,63.649162,-158.63258
-129.0,-96.0,62.33427,-165.90367
-49.0,-17.0,60.922493,-171.81638
-67.0,28.0,60.141144,-175.27596
81.0,-21.0,58.84703,-182.14769
124.0,-88.0,58.930416,-183.19728
50.0,229.0,57.236797,-186.38033
-53.0,176.0,58.653515,-183.5922
-47.0,24.0,58.041786,-180.38222
17.0,16.0,57.969574,-178.35983
-43.0,11.0,58.64702,-173.29684
87.0,-79.0,60.008926,-163.41588
63.0,175.0,61.83943,-152.10747
3.0,197.0,62.817417,-144.11076
69.0,47.0,65.68332,-125.59746
124.0,53.0,70.27842,-103.217636
95.0,117.0,72.08061,-90.36972
-10.0,44.0,79.24601,-65.76633
-76.0,18.0,83.799034,-63.75626
-16.0,-35.0,86.2853,-64.24688
-152.0,251.0,91.51278,-64.177956
-117.0,109.0,96.554405,-64.740944
46.0,1.0,103.49953,-64.666
60.0,-100.0,110.033714,-64.40407
117.0,-162.0,118.06696,-66.03944
154.0,-40.0,128.11774,-66.808754
-31.0,92.0,135.8333,-67.04361
-67.0,-121.0,144.29437,-68.204254
-54.0,-152.0,151.1152,-68.802345
0.0,-167.0,157.36119,-68.80664
-126.0,-63.0,165.97836,-69.637146
-185.0,232.0,174.17357,-70.227356
-54.0,18.0,186.00928,-71.0881
-36.0,-63.0,192.19539,-73.14001
127.0,-142.0,194.48567,-75.69057
-129.0,-100.0,214.30513,-79.044975
-123.0,-131.0,230.73216,-81.8652
64.0,-32.0,243.97198,-86.37566
82.0,142.0,254.73839,-92.015114
93.0,140.0,268.26602,-97.10261
-107.0,-47.0,279.3713,-105.65843
35.0,-93.0,279.15558,-113.02294
176.0,-95.0,247.11517,-121.718895
150.0,-85.0,223.68976,-131.06969
86.0,-147.0,185.72769,-148.40659
-59.0,4.0,155.24132,-167.89052
25.0,-76.0,131.71693,-186.63179
129.0,-146.0,132.21048,-196.26529
-8.0,43.0,119.89305,-193.20233
-29.0,-68.0,117.25392,-191.63188
102.0,-177.0,100.26218,-187.34853
121.0,-183.0,88.28374,-184.1324
22.0,1.0,71.78163,-180.00479
52.0,-122.0,65.06263,-178.1777
92.0,-263.0,58.148544,-173.17575
-33.0,-58.0,62.00607,-165.27821
-120.0,-60.0,60.773132,-159.05887
-72.0,-81.0,54.856903,-155.07729
-85.0,14.0,52.36746,-150.35503
-24.0,53.0,46.72209,-146.01479
30.0,68.0,42.018997,-138.49352
-89.0,53.0,37.02491,-135.4704
26.0,22.0,31.806002,-128.23141
76.0,-134.0,28.11849,-123.124565
-83.0,58.0,25.715479,-123.08445
-30.0,25.0,23.49066,-131.934
45.0,-38.0,23.398186,-137.69397
28.0,-51.0,24.869709,-149.57024
20.0,64.0,23.839773,-159.71155
129.0,20.0,26.56878,-175.26993
121.0,33.0,28.049915,-185.83682
102.0,47.0,30.147453,-198.94553
57.0,-16.0,33.632874,-213.80708
-32.0,28.0,38.93581,-235.6066
-56.0,73.0,42.03393,-248.25433
81.0,-39.0,47.56624,-268.48666
62.0,-59.0,48.80294,-280.91647
8.0,3.0,50.317066,-291.0442
44.0,-185.0,60.37934,-267.19092
-31.0,-247.0,62.031654,-280.3459
-49.0,-148.0,48.33434,-301.2229
-8.0,-88.0,36.14654,-325.12015
-56.0,6.0,25.087385,-345.71286
-30.0,44.0,23.3237,-286.86572
0.0,64.0,26.046734,-280.18613
-24.0,7.0,27.711842,-283.2134
18.0,-191.0,27.859123,-271.4678
26.0,-60.0,27.712166,-264.1215
56.0,49.0,29.167585,-261.07587
-4.0,22.0,21.628462,-233.70657
-85.0,-127.0,12.321172,-207.2013
-105.0,-137.0,5.583333,-187.83528
-110.0,-38.0,3.6264534,-185.78294
-192.0,56.0,-2.0915134,-177.90187
