fx,fy,pred_fx,pred_fy
-121.0,219.0,-44.851616,-183.28412
-42.0,117.0,-45.084553,-184.57831
-42.0,117.0,-45.011887,-184.31967
135.0,328.0,-45.079876,-184.566
26.0,324.0,-45.45938,-184.81058
112.0,339.0,-45.73414,-185.281
-49.0,-82.0,-38.511402,-182.83992
-20.0,208.0,-38.440228,-182.9875
19.0,345.0,-34.7859,-179.38579
-47.0,343.0,-34.76642,-179.57922
96.0,439.0,-33.449837,-179.20222
240.0,256.0,-32.180275,-177.26166
160.0,-69.0,-36.78921,-181.71109
-62.0,-49.0,-38.846943,-182.9216
-121.0,246.0,-34.083908,-179.45227
135.0,57.0,-37.974354,-181.87215
158.0,-35.0,-38.5327,-182.48714
-8.0,9.0,-36.970325,-180.11284
-236.0,-86.0,-37.947662,-181.43024
-208.0,-149.0,-38.957405,-181.82143
-127.0,-101.0,-38.792133,-182.81241
-5.0,-209.0,-34.16521,-180.06569
99.0,-226.0,-37.578094,-181.63916
189.0,-59.0,-36.968575,-181.32922
43.0,-34.0,-42.371975,-184.10875
84.0,-5.0,-36.78473,-182.9855
-238.0,64.0,-44.451653,-184.56757
-424.0,5.0,-34.77681,-182.31361
-301.0,-11.0,-44.290344,-185.40681
-157.0,155.0,-42.952335,-186.13214
-104.0,26.0,-47.021885,-185.70256
14.0,88.0,-38.465164,-184.52185
-27.0,272.0,-42.943115,-185.84299
131.0,-81.0,-49.86668,-189.49358
-54.0,-25.0,-41.866096,-190.43942
-176.0,-397.0,-38.332687,-191.24127
-100.0,-185.0,-44.896812,-197.57353
-166.0,303.0,-40.257164,-197.94966
-154.0,162.0,-47.38574,-199.0742
-63.0,49.0,-44.515556,-199.0305
12.0,-62.0,-47.568348,-198.98521
-76.0,587.0,-45.858627,-189.27849
-190.0,560.0,-35.641605,-178.19963
-286.0,-180.0,-37.759663,-166.60092
-223.0,-267.0,-42.130337,-168.62846
-61.0,-151.0,-42.12027,-168.4303
-199.0,-233.0,-31.740896,-141.77744
-9.0,-154.0,-27.555367,-131.03616
2.0,-124.0,-22.899221,-150.86543
78.0,-265.0,-27.66706,-135.18553
109.0,-233.0,-21.80967,-164.00136
-18.0,-221.0,-2.805261,-269.28006
-225.0,-145.0,11.742627,-379.10635
-508.0,-204.0,8.011672,-350.87473
-426.0,-282.0,11.352862,-376.4254
-498.0,-281.0,3.8101666,-323.49512
-144.0,-254.0,11.744057,-380.39783
-48.0,-171.0,11.129601,-377.8
-26.0,-248.0,14.234347,-400.7388
-137.0,-472.0,14.87296,-401.74454
-284.0,-407.0,11.157979,-373.6979
-145.0,-354.0,14.39176,-394.1661
-176.0,-280.0,11.476571,-368.4598
-76.0,-319.0,14.750094,-388.66852
26.0,-314.0,9.71347,-346.58423
-45.0,-275.0,12.009528,-358.5102
-272.0,-118.0,13.608722,-365.36273
-136.0,-234.0,11.804709,-345.571
35.0,-381.0,9.851401,-330.25394
-117.0,-547.0,10.343836,-330.56458
-143.0,-620.0,8.779124,-313.6461
-111.0,-551.0,9.965045,-323.17487
-192.0,-425.0,6.573397,-291.70618
-103.0,-347.0,4.6589227,-278.51965
76.0,-374.0,3.2361684,-262.25787
-20.0,-796.0,3.1206415,-260.312
-97.0,-808.0,4.2057767,-260.88245
-139.0,-774.0,1.218116,-248.12122
-160.0,-459.0,2.5645015,-253.33795
-196.0,-332.0,2.7221742,-250.97641
-129.0,-676.0,1.3492934,-241.25378
103.0,-441.0,-0.72525626,-229.33553
55.0,-292.0,-1.0007286,-224.90057
1.0,-906.0,-0.5695968,-224.194
80.0,-876.0,-0.31282702,-226.11122
8.0,-739.0,-0.34412774,-224.40536
18.0,-689.0,-0.77090853,-221.58728
-105.0,-591.0,-0.9102682,-220.04477
-130.0,-685.0,-0.9355296,-220.64314
-114.0,-682.0,-2.453485,-214.9504
68.0,-238.0,-2.0005333,-215.24342
421.0,-407.0,-0.8143529,-219.94475
450.0,-768.0,-1.6864222,-215.51439
336.0,-936.0,-2.127165,-215.15802
-184.0,-465.0,-1.3847793,-218.8791
-248.0,-470.0,-1.7676612,-217.58249
-308.0,-433.0,-2.1115146,-218.52533
-180.0,-724.0,-6.2524967,-200.22066
-125.0,-648.0,-4.9258523,-208.26135
-61.0,-616.0,-4.9373465,-212.77283
-253.0,-496.0,-7.475173,-206.24226
-89.0,-591.0,-4.631223,-219.31987
-19.0,-299.0,-8.288017,-201.14845
23.0,-176.0,-9.422571,-197.9117
58.0,-187.0,-12.405751,-185.81691
-75.0,-485.0,-13.773307,-179.45084
-126.0,-512.0,-16.878119,-166.28625
-74.0,-286.0,-18.535887,-156.67482
-98.0,-147.0,-20.13573,-153.06378
-52.0,80.0,-19.2923,-153.37128
38.0,-185.0,-17.737005,-159.54247
-112.0,6.0,-31.509777,-151.05801
-23.0,54.0,-42.252552,-157.32205
213.0,-40.0,-34.453476,-154.86565
162.0,72.0,-41.27093,-157.09222
18.0,59.0,-33.66797,-153.74812
-7.0,-193.0,-35.940586,-154.69241
259.0,-376.0,-35.177288,-154.79701
309.0,57.0,-32.540363,-154.00862
141.0,163.0,-35.82772,-153.81133
117.0,12.0,-35.082672,-155.28978
82.0,-1.0,-34.57842,-155.59886
-29.0,65.0,-35.52004,-155.51375
-157.0,-62.0,-33.467438,-156.59702
-186.0,-31.0,-34.8385,-158.01888
-359.0,486.0,-36.160145,-159.0232
-330.0,271.0,-40.337234,-160.9639
141.0,330.0,-40.486855,-159.78464
339.0,90.0,-32.114685,-157.60606
245.0,-187.0,-35.81363,-158.76584
95.0,-145.0,-35.12118,-158.18552
10.0,-90.0,-34.867527,-158.65193
-16.0,34.0,-39.13962,-160.22081
86.0,20.0,-34.770054,-159.58173
-9.0,-110.0,-31.69479,-157.41075
49.0,-104.0,-41.96987,-161.61588
261.0,134.0,-35.924545,-159.45277
244.0,-121.0,-33.243786,-158.73117
176.0,-168.0,-38.132286,-160.708
-27.0,-203.0,-38.117672,-161.22125
-112.0,-50.0,-39.002537,-161.93626
-52.0,77.0,-38.81869,-163.5924
97.0,-210.0,-35.013706,-162.55069
173.0,-43.0,-35.797523,-160.87206
184.0,-124.0,-31.437046,-158.2841
153.0,-211.0,-28.505362,-152.28342
209.0,-371.0,-27.440098,-140.97673
152.0,-93.0,-27.322104,-134.23767
98.0,72.0,-24.816618,-145.40022
-46.0,-397.0,-6.233794,-268.15424
-15.0,-375.0,-2.2710056,-298.06708
-7.0,-197.0,2.2817562,-321.95547
-62.0,-137.0,-0.7243471,-336.72488
50.0,42.0,16.768927,-385.7517
56.0,58.0,58.03737,-394.23874
229.0,-17.0,80.25751,-369.58722
412.0,-8.0,102.42647,-323.75488
342.0,-135.0,120.00527,-287.13898
274.0,-158.0,133.25027,-258.79056
264.0,-134.0,155.8881,-221.95367
230.0,-103.0,167.29533,-204.10811
128.0,14.0,185.11467,-179.92957
75.0,-18.0,199.89926,-169.43834
1.0,-339.0,205.71185,-172.25555
217.0,-104.0,223.89926,-178.1184
87.0,-129.0,225.83678,-180.47206
-357.0,-134.0,237.44806,-184.51125
-226.0,-189.0,241.77068,-185.64955
-46.0,-303.0,244.82086,-188.5311
100.0,-281.0,250.14302,-190.55435
-33.0,-321.0,254.14575,-192.87679
-34.0,-331.0,255.49039,-194.7427
162.0,-431.0,259.79922,-196.35298
194.0,-282.0,261.33777,-198.19083
165.0,-286.0,265.1557,-199.57213
179.0,-467.0,267.3431,-201.9622
133.0,-452.0,266.89438,-200.73822
218.0,77.0,271.9439,-203.0492
144.0,75.0,272.31146,-202.56589
84.0,-89.0,270.53708,-202.6841
304.0,-333.0,273.25754,-204.25627
215.0,-15.0,276.02133,-205.50131
215.0,-15.0,275.47327,-205.13577
104.0,-61.0,277.04843,-206.10269
60.0,-307.0,277.58417,-206.29413
