fx,fy,pred_fx,pred_fy
176,437,-345.16718,41.786823
-111,687,-348.44504,35.11211
-159,456,-364.1115,28.968426
168,-172,-350.53647,35.191204
168,-172,-364.2071,29.491432
168,-172,-358.5257,0.2726841
-18,70,-351.08237,31.619713
-18,70,-346.13828,37.099823
-305,-21,-346.73215,39.672443
-187,-94,-349.0852,36.67253
-74,-139,-361.88565,30.5833
117,-170,-349.59628,34.833267
138,-189,-364.04178,29.342411
71,-179,-347.54187,37.42595
71,-179,-349.30405,34.289627
-90,47,-348.23483,38.218914
-90,47,-351.16275,32.196453
158,-191,-350.58493,32.89585
178,-198,-362.17828,31.616991
-62,-77,-346.53595,39.428276
-93,-144,-347.11548,39.96332
128,-184,-350.10437,33.431038
128,-184,-350.92584,31.749964
102,-4,-349.72812,34.08644
156,327,-347.8128,36.854366
-217,-141,-350.5405,32.74038
-200,-439,-350.92404,33.014923
-124,-454,-348.43985,35.740578
-56,-78,-348.31216,35.875988
-56,-78,-351.63837,32.04872
-187,-54,-349.8111,34.839573
-98,-115,-348.90286,36.187786
519,-858,-349.04016,35.903927
519,-858,-348.33777,37.764973
-80,-65,-349.11404,35.180027
-325,147,-349.69046,34.7834
-255,270,-347.33224,38.45362
-67,312,-363.96878,30.023323
-192,60,-347.3744,38.178936
-192,60,-350.08917,34.620197
-60,8,-348.58597,37.6747
-7,44,-347.97177,36.772835
-101,27,-349.01392,36.062836
-178,-180,-349.79617,35.63311
-165,-197,-348.8469,38.48171
-157,-17,-349.29678,35.20668
-263,-15,-348.73285,37.24426
-249,70,-362.36166,32.559837
-276,67,-349.78943,35.60302
-95,84,-349.4603,39.16821
-142,-202,-351.89267,34.782112
-191,-326,-350.55817,35.006363
-191,-326,-351.0334,34.779106
-191,-326,-352.45544,33.67463
-123,43,-355.87164,37.968014
-167,243,-361.20093,35.02628
-167,243,-353.17664,29.475384
-137,304,-351.75668,34.072113
-106,-368,-350.67712,37.548893
-118,-362,-340.7956,6.08107
-118,-362,-350.41562,35.58253
-56,-162,-357.36926,34.55758
592,-500,-347.15112,41.039997
592,-500,-362.8835,-0.36753368
357,-231,-359.27963,38.94396
474,129,-353.06494,30.390575
100,-109,-352.85025,32.842976
-252,-333,-348.60687,38.772873
-286,-230,-337.48615,9.542373
-286,-230,-351.96503,32.55124
27,-136,-337.25433,7.340585
-60,-132,-350.69168,34.785122
297,-71,-350.57324,36.991783
101,-35,-351.30457,32.44191
-375,-287,-354.31348,30.217768
-375,-287,-353.9111,28.954384
-375,-287,-334.39633,-4.3876657
-44,-47,-351.17017,33.834827
-102,128,-352.29816,31.525858
-102,128,-352.82495,33.199768
-58,-636,-337.89502,6.759116
-332,-144,-345.32016,1.2427545
-478,202,-358.8713,0.7134428
-382,25,-353.9807,30.38083
-337,-176,-359.32602,33.30709
-304,-79,-343.8576,0.8948474
-262,275,-346.0884,1.6098623
204,34,-353.1582,30.524837
204,34,-345.89642,-1.349927
276,62,-363.41446,2.7848365
48,230,-350.9958,38.0259
54,-88,-344.3931,2.327743
250,-243,-343.39484,-0.72117233
250,-243,-345.44382,-0.40765476
165,113,-344.59024,-0.7329221
165,113,-343.222,-5.097809
-134,-287,-347.07794,7.4930453
21,-107,-365.978,3.981591
54,-107,-338.8917,9.671906
-90,-60,-351.00247,4.4899826
-90,-60,-346.84103,0.8217697
-208,-40,-344.42322,-2.029406
-178,-223,-369.71875,7.3729687
-589,-386,-370.12555,7.6283107
-414,-213,-345.52783,1.6929703
-414,-213,-345.81824,-4.0331674
-184,128,-355.47302,-4.4974256
1,98,-352.1345,32.630333
123,61,-340.7747,13.016858
123,12,-341.57565,-2.7025807
63,12,-342.76807,4.661357
-69,-110,-367.33627,6.7126904
-100,-32,-365.45004,6.9494047
-190,-211,-363.6907,7.679895
-211,-242,-348.80014,9.970236
-244,-37,-325.1855,11.260128
-244,-37,-343.1039,6.897534
-116,-18,-292.8691,40.947433
172,-18,-277.42877,57.85016
172,-18,-278.18127,59.412014
124,-47,-280.83276,61.778297
-87,-51,-311.91867,50.170696
96,-547,-228.2121,33.26597
96,-547,-246.75525,51.031868
101,-398,-229.8535,22.379112
-64,-388,-240.4251,29.92474
-64,-388,-228.12553,28.571085
-61,-181,-207.43309,15.743659
177,-176,-215.14307,21.047235
24,-101,-214.32146,19.806492
-186,-69,-176.5724,7.5257154
-221,-378,-174.22003,12.539704
-123,-207,-150.046,5.8526664
41,-172,-123.20077,-1.0461531
39,-41,-111.39715,0.04428053
-14,-321,-113.81666,1.1566374
-14,-321,-89.68107,3.9441924
258,-450,-91.379105,-0.40808463
258,-450,-92.456314,-13.80136
147,-472,-75.49288,-7.9979897
-150,-478,-72.5023,-21.161142
-97,-360,-81.66951,-37.522804
-290,-268,-81.342476,-43.683254
-428,-509,-82.6475,-46.34371
-63,-848,-85.79277,-51.843307
239,-1074,-88.06071,-55.330257
-206,-513,-90.5271,-59.918964
-206,-513,-91.21409,-66.18731
-206,-513,-93.108696,-75.02297
-4,-204,-97.696915,-78.57126
-140,-179,-94.580154,-83.49526
-120,-273,-91.0659,-95.3903
-244,-351,-90.59639,-92.60647
-244,-351,-88.19422,-94.623985
-157,-649,-93.17786,-100.383514
14,-599,-83.58178,-91.926994
14,-599,-82.338715,-87.88164
78,-609,-78.94622,-80.32484
27,-366,-88.12656,-103.005135
-40,-522,-73.50795,-76.779564
-102,-531,-84.99869,-95.68834
-296,-380,-86.85251,-98.913216
58,-576,-84.22409,-86.637886
56,-331,-86.00005,-96.76215
96,-276,-89.66185,-97.49035
-118,-389,-90.61425,-92.42994
-118,-389,-80.14948,-87.235115
-158,-726,-87.12915,-95.905
-141,-865,-93.21305,-97.50382
-38,-345,-90.99778,-94.927765
-211,-220,-95.62561,-99.32532
